day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,3,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,
10,5,,,12,,,,,,,,,,,
11,6,,,12,,,,,,,,,,,
12,6,,,13,,,,,,,,,,,
13,6,,,13,,,,,,,,,,,
14,7,2,,13,,,,,,,,,,,
15,7,2,,13,,,,,,,,,,,
16,7,,,18,,,,,,,,,,,
17,7,,,18,,,,,,,,,,,
18,8,,,18,,,,,,,,,,,
19,10,,,18,,,,,,,,,,,
20,10,,,20,,,,,,,,,,,
21,14,,,20,,,,,,,,,,,
22,17,,,20,,,,,,,,,,,
23,17,,,20,,,,,,,,,,,
24,17,,,23,,,,,,,,,,,
25,18,,,24,,,,,,,,,,,
26,20,,,25,,,,,,,,,,,
27,21,,,26,,,,,,,,,,,
28,21,4,,26,,,,,,,,,,,
29,23,4,24,,,,,,,,,,,,
30,26,4,24,,,,,,,,,,,,
31,25,6,24,,,,,,,,,,,,
32,25,6,,28,,,,,,,,,,,
33,25,6,,28,,,,,,,,,,,
34,25,6,,28,,,,,,,,,,,
35,23,2,,39,,,,,,,,,,,
36,23,2,,,40,,,,,,,,,,
37,23,2,,,40,,,,,,,,,,
38,23,2,,,41,,,,,,,,,,
39,23,2,,,42,,,,,,,,,,
40,21,4,,,46,,,,,,,,,,
41,21,4,,,47,,,,,,,,,,
42,23,4,,,48,,,,,,,,,,
43,23,4,,,47,,,,,,,,,,
44,25,4,,,47,,,,,,,,,,
45,25,4,,,47,,,,,,,,,,
46,27,4,,,47,,,,,,,,,,
47,27,5,,,48,,,,,,,,,,
48,24,5,,,54,,,,,,,,,,
49,3,,,,,83.0,,,,,,,,,
50,4,,,,,83.0,,,,,,,,,
51,4,,,,,83.0,,,,,,,,,
52,4,,,,,85.0,,,,,,,,,
53,5,,,,,85.0,,,,,,,,,
54,6,,,,,87.0,,,,,,,,,
55,6,,,,,87.0,,,,,,,,,
56,6,,,,,89.0,,,,,,,,,
57,7,,,,,89.0,,,,,,,,,
58,7,,,,,89.0,,,,,,,,,
59,7,,,,,89.0,,,,,,,,,
60,8,,,,,89.0,,,,,,,,,
61,8,,,,,89.0,,,,,,,,,
62,9,,,,,89.0,,,,,,,,,
63,11,,,,,91.0,,,,,,,,,
64,11,2,,,,91.0,,,,,,,,,
65,12,2,,,,92.0,,,,,,,,,
66,15,2,,,,92.0,,,,,,,,,
67,14,4,,,,93.0,,,,,,,,,
68,15,4,,,,,94.0,,,,,,,,
69,16,7,,,,,94.0,,,,,,,,
70,14,5,,,,,100.0,,,,,,,,
71,14,5,,,,,101.0,,,,,,,,
72,15,5,,,,,103.0,,,,,,,,
73,15,5,,,,,103.0,,,,,,,,
74,15,5,,,,,104.0,,,,,,,,
75,14,5,,,,,108.0,,,,,,,,
76,16,5,,,,,109.0,,,,,,,,
77,16,5,,,,,109.0,,,,,,,,
78,16,3,,,,,115.0,,,,,,,,
79,16,3,,,,,115.0,,,,,,,,
80,32,5,,,,,101.0,,,,,,,,
81,32,5,,,,,101.0,,,,,,,,
82,32,5,,,,,100.0,,,,,,,,
83,33,5,,,,,100.0,,,,,,,,
84,33,5,,,,,105.0,,,,,,,,
85,34,5,,,,,105.0,,,,,,,,
86,35,5,,,,,106.0,,,,,,,,
87,36,5,,,,,106.0,,,,,,,,
88,38,5,,,,106.0,,,,,,,,,
89,38,5,,,,107.0,,,,,,,,,
90,40,5,,,,108.0,,,,,,,,,
91,39,5,,,,110.0,,,,,,,,,
92,39,5,,,,110.0,,,,,,,,,
93,40,5,,,,111.0,,,,,,,,,
94,40,5,,,,112.0,,,,,,,,,
95,41,5,,,,112.0,,,,,,,,,
96,38,3,,,,124.0,,,,,,,,,
97,39,3,,,,124.0,,,,,,,,,
98,40,3,,,,126.0,,,,,,,,,
99,41,3,,,,126.0,,,,,,,,,
100,42,3,,,,,134.0,,,,,,,,
101,42,3,,,,,134.0,,,,,,,,
102,42,3,,,,,,135.0,,,,,,,
103,42,3,,,,,,135.0,,,,,,,
104,42,3,,,,,,138.0,,,,,,,
105,42,3,,,,,,142.0,,,,,,,
106,43,5,,,,,,142.0,,,,,,,
107,43,5,,,,,,142.0,,,,,,,
108,44,5,,,,,,142.0,,,,,,,
109,44,5,,,,,,142.0,,,,,,,
110,48,8,,,,,,144.0,,,,,,,
111,48,8,,,,,,144.0,,,,,,,
112,46,8,,,,,,147.0,,,,,,,
113,46,8,,,,,,147.0,,,,,,,
114,46,8,,,,,,150.0,,,,,,,
115,46,8,,,,,,150.0,,,,,,,
116,46,8,,,,,,150.0,,,,,,,
117,48,8,,,,,,151.0,,,,,,,
118,49,8,,,,,,151.0,,,,,,,
119,49,8,,,,,,151.0,,,,,,,
120,47,8,,,,,,157.0,,,,,,,
121,47,8,,,,,,157.0,,,,,,,
122,47,8,,,,,,157.0,,,,,,,
123,47,8,,,,,,158.0,,,,,,,
124,45,8,,,,,,162.0,,,,,,,
125,46,8,,,,,,162.0,,,,,,,
126,47,8,,,,,,165.0,,,,,,,
127,48,8,,,,,,165.0,,,,,,,
128,46,8,,,,,,168.0,,,,,,,
129,46,8,,,,,,168.0,,,,,,,
130,49,8,,,,,,168.0,,,,,,,
131,49,8,,,,,,168.0,,,,,,,
132,48,8,,,,,,171.0,,,,,,,
133,49,8,,,,,,173.0,,,,,,,
134,49,8,,,,,,174.0,,,,,,,
135,49,8,,,,,,175.0,,,,,,,
136,50,8,,,,,,175.0,,,,,,,
137,50,8,,,,,,174.0,,,,,,,
138,50,8,,,,,,175.0,,,,,,,
139,50,8,,,,,,175.0,,,,,,,
140,51,8,,,,,,179.0,,,,,,,
141,51,8,,,,,,179.0,,,,,,,
142,51,8,,,,,,180.0,,,,,,,
143,51,8,,,,,,180.0,,,,,,,
144,52,8,,,,,,181.0,,,,,,,
145,52,8,,,,,,181.0,,,,,,,
146,53,8,,,,,,182.0,,,,,,,
147,54,8,,,,,,183.0,,,,,,,
148,52,8,,,,,,190.0,,,,,,,
149,52,8,,,,,,190.0,,,,,,,
150,52,8,,,,,,190.0,,,,,,,
151,53,8,,,,,,190.0,,,,,,,
152,52,8,,,,,,192.0,,,,,,,
153,55,8,,,,,,193.0,,,,,,,
154,57,8,,,,,,194.0,,,,,,,
155,57,8,,,,,,195.0,,,,,,,
156,57,8,,,,,,197.0,,,,,,,
157,57,8,,,,,,197.0,,,,,,,
158,57,8,,,,,,197.0,,,,,,,
159,56,4,,,,,,203.0,,,,,,,
160,58,4,,,,,,205.0,,,,,,,
161,58,4,,,,,,205.0,,,,,,,
162,58,4,,,,,,205.0,,,,,,,
163,59,4,,,,,,205.0,,,,,,,
164,60,4,,,,,,205.0,,,,,,,
