day_counter,0,1,2,3,4,5,6,7,8,9,10
0,,,3,,,,,,,,
1,,,3,,,,,,,,
2,,,5,,,,,,,,
3,,,6,,,,,,,,
4,1,2,6,,,,,,,,
5,1,2,6,,,,,,,,
6,3,3,7,,,,,,,,
7,5,3,7,,,,,,,,
8,7,3,7,,,,,,,,
9,7,3,6,,,,,,,,
10,5,,12,,,,,,,,
11,6,4,6,,,,,,,,
12,6,4,7,,,,,,,,
13,6,4,7,,,,,,,,
14,7,6,7,,,,,,,,
15,7,4,7,,,,,,,,
16,5,4,12,,,,,,,,
17,5,4,12,,,,,,,,
18,6,4,12,,,,,,,,
19,8,4,12,,,,,,,,
20,8,4,,14,,,,,,,
21,12,4,,14,,,,,,,
22,15,4,,14,,,,,,,
23,15,4,,14,,,,,,,
24,15,6,,15,,,,,,,
25,15,4,,18,,,,,,,
26,17,4,,19,,,,,,,
27,18,,5,18,,,,,,,
28,19,2,5,19,,,,,,,
29,20,6,,19,,,,,,,
30,23,6,,19,,,,,,,
31,22,8,,19,,,,,,,
32,21,8,,23,,,,,,,
33,21,8,,23,,,,,,,
34,21,8,,23,,,,,,,
35,20,6,,31,,,,,,,
36,20,6,,32,,,,,,,
37,20,6,,32,,,,,,,
38,20,6,,33,,,,,,,
39,20,6,,34,,,,,,,
40,18,6,,,40,,,,,,
41,18,6,,,41,,,,,,
42,18,9,,,41,,,,,,
43,18,9,,,41,,,,,,
44,20,9,,,41,,,,,,
45,20,9,,,41,,,,,,
46,22,9,,,40,,,,,,
47,22,9,,,42,,,,,,
48,20,,,,56,,,,,,
49,3,,,,,76.0,,,,,
50,4,,,,,76.0,,,,,
51,4,,,,,75.0,,,,,
52,4,,,,,76.0,,,,,
53,5,,,,,76.0,,,,,
54,6,,,,,78.0,,,,,
55,6,,,,,78.0,,,,,
56,6,,,,,81.0,,,,,
57,7,,,,,81.0,,,,,
58,7,,,,,81.0,,,,,
59,7,,,,,81.0,,,,,
60,8,,,,,81.0,,,,,
61,8,,,,,81.0,,,,,
62,9,,,,,81.0,,,,,
63,10,,,,,84.0,,,,,
64,11,,,,,85.0,,,,,
65,12,,,,,86.0,,,,,
66,31,6,,,62,,,,,,
67,31,6,,,,64.0,,,,,
68,32,6,,,,65.0,,,,,
69,33,9,,,,65.0,,,,,
70,30,10,,,,67.0,,,,,
71,30,10,,,,68.0,,,,,
72,31,10,,,,70.0,,,,,
73,31,10,,,,70.0,,,,,
74,31,10,,,,71.0,,,,,
75,31,10,,,,74.0,,,,,
76,32,12,,,,74.0,,,,,
77,32,12,,,,73.0,,,,,
78,26,10,,,,,85.0,,,,
79,26,10,,,,,84.0,,,,
80,23,10,,,,,92.0,,,,
81,23,10,,,,,92.0,,,,
82,23,10,,,,,92.0,,,,
83,24,10,,,,,90.0,,,,
84,24,6,5,,,,94.0,,,,
85,25,6,5,,,,94.0,,,,
86,25,6,5,,,,96.0,,,,
87,26,6,5,,,,96.0,,,,
88,28,6,5,,,,96.0,,,,
89,28,6,5,,,,97.0,,,,
90,30,6,5,,,,97.0,,,,
91,30,6,5,,,,98.0,,,,
92,30,6,5,,,,98.0,,,,
93,31,6,5,,,,99.0,,,,
94,31,6,5,,,,100.0,,,,
95,32,6,5,,,,100.0,,,,
96,29,4,,,,,117.0,,,,
97,30,4,,,,,117.0,,,,
98,31,4,,,,,119.0,,,,
99,32,4,,,,,120.0,,,,
100,32,4,,,,,129.0,,,,
101,32,4,,,,,128.0,,,,
102,32,4,,,,,129.0,,,,
103,32,4,,,,,129.0,,,,
104,31,4,,,,,133.0,,,,
105,33,4,,,,134.0,,,,,
106,35,4,,,,135.0,,,,,
107,35,4,,,,135.0,,,,,
108,36,4,,,,135.0,,,,,
109,36,4,,,,134.0,,,,,
110,40,6,,,,137.0,,,,,
111,40,6,,,,137.0,,,,,
112,39,6,,,,139.0,,,,,
113,39,6,,,,138.0,,,,,
114,39,6,,,,141.0,,,,,
115,39,6,,,,141.0,,,,,
116,39,6,,,,141.0,,,,,
117,41,6,,,,142.0,,,,,
118,42,6,,,,142.0,,,,,
119,42,6,,,,142.0,,,,,
120,39,8,,,,148.0,,,,,
121,39,8,,,,148.0,,,,,
122,39,8,,,,148.0,,,,,
123,39,8,,,,149.0,,,,,
124,38,8,,,,153.0,,,,,
125,39,8,,,,152.0,,,,,
126,41,8,,,,154.0,,,,,
127,42,8,,,,154.0,,,,,
128,41,8,,,,156.0,,,,,
129,41,8,,,,155.0,,,,,
130,44,8,,,,155.0,,,,,
131,44,8,,,,155.0,,,,,
132,43,8,,,,158.0,,,,,
133,44,8,,,,160.0,,,,,
134,43,8,,,,161.0,,,,,
135,43,8,,,,162.0,,,,,
136,44,8,,,,162.0,,,,,
137,44,8,,,,162.0,,,,,
138,45,8,,,,161.0,,,,,
139,45,8,,,,161.0,,,,,
140,47,8,,,,164.0,,,,,
141,47,8,,,,164.0,,,,,
142,47,8,,,,165.0,,,,,
143,47,8,,,,164.0,,,,,
144,47,8,,,,166.0,,,,,
145,47,8,,,,166.0,,,,,
146,48,8,,,,167.0,,,,,
147,49,8,,,,168.0,,,,,
148,46,6,,,,,178.0,,,,
149,46,6,,,,,178.0,,,,
150,47,6,,,,,176.0,,,,
151,48,6,,,,,176.0,,,,
152,46,6,,,,,180.0,,,,
153,49,6,,,,,181.0,,,,
154,51,6,,,,,182.0,,,,
155,51,6,,,,,183.0,,,,
156,50,6,,,,,186.0,,,,
157,50,6,,,,,187.0,,,,
158,50,6,,,,,186.0,,,,
159,50,4,,,,,189.0,,,,
160,52,4,,,,,189.0,,,,
161,52,4,,,,,189.0,,,,
162,52,4,,,,,189.0,,,,
163,53,4,,,,,189.0,,,,
164,54,4,,,,,188.0,,,,
165,57,4,,,,,188.0,,,,
166,55,4,,,,,193.0,,,,
167,55,4,,,,,193.0,,,,
168,55,4,,,,,195.0,,,,
169,56,4,,,,,195.0,,,,
170,57,4,,,,,195.0,,,,
171,57,4,,,,,,196.0,,,
172,56,2,,,,,,204.0,,,
173,56,2,,,,,,204.0,,,
174,57,2,,,,,,205.0,,,
175,58,2,,,,,,205.0,,,
176,59,2,,,,,,209.0,,,
177,59,2,,,,,,210.0,,,
178,62,2,,,,,,211.0,,,
179,63,2,,,,,,211.0,,,
180,64,,,,,,,221.0,,,
181,68,,,,,,,219.0,,,
182,68,,,,,,,219.0,,,
183,68,,,,,,,223.0,,,
184,67,,,,,,,224.0,,,
185,68,,,,,,,224.0,,,
186,69,,,,,,,224.0,,,
187,69,,,,,,,225.0,,,
188,68,,,,,,,227.0,,,
189,69,,,,,,,227.0,,,
190,70,,,,,,,227.0,,,
191,70,,,,,,,227.0,,,
192,70,,,,,,,230.0,,,
193,70,,,,,,,230.0,,,
194,73,2,,,,,,226.0,,,
195,73,2,,,,,,226.0,,,
196,73,2,,,,,,228.0,,,
197,75,2,,,,,,228.0,,,
198,76,2,,,,,,230.0,,,
199,75,2,,,,,,233.0,,,
200,79,2,,,,,,235.0,,,
