day_counter,0,1,2,3,4,5
0,,,3,,,
1,,,3,,,
2,,2,3,,,
3,,2,4,,,
4,1,4,4,,,
5,1,4,4,,,
6,3,5,5,,,
7,5,5,4,,,
8,7,5,4,,,
9,7,8,,,,
10,7,,8,,,
11,8,,7,,,
12,6,2,6,,,
13,6,2,6,,,
14,8,3,6,,,
15,8,3,6,,,
16,3,10,7,,,
17,3,10,7,,,
18,4,10,7,,,
19,6,10,7,,,
20,5,13,7,,,
21,9,17,,,,
22,12,17,,,,
23,12,17,,,,
24,13,15,4,,,
25,14,5,14,,,
26,16,5,15,,,
27,17,5,16,,,
28,17,9,16,,,
29,18,9,16,,,
30,21,8,16,,,
31,21,8,17,,,
32,21,8,21,,,
33,21,8,21,,,
34,25,8,15,,,
35,21,4,,,27,
36,21,4,,,28,
37,21,4,,,28,
38,21,4,,,29,
39,21,4,,,30,
40,19,2,,,38,
41,18,2,,,40,
42,20,2,,,40,
43,20,2,,,40,
44,22,2,,,40,
45,22,2,,,40,
46,24,2,,,40,
47,24,2,,,41,
48,20,2,,,48,
49,2,,,,71,
50,3,,,,70,
51,3,,,,69,
52,3,,,,71,
53,4,,,,71,
54,5,,,,72,
55,5,,,,72,
56,5,,,,75,
57,6,,,,74,
58,6,,,,74,
59,6,,,,74,
60,7,,,,73,
61,7,,,,73,
62,8,,,,73,
63,10,,,,75,
64,11,,,,76,
65,27,6,,54,,
66,30,6,,54,,
67,29,4,,59,,
68,30,4,,60,,
69,31,7,,60,,
70,28,4,,67,,
71,28,4,,67,,
72,27,2,,72,,
73,27,2,,72,,
74,27,2,,73,,
75,27,2,,76,,
76,29,2,,77,,
77,29,2,,77,,
78,25,2,,84,,
79,25,2,,84,,
80,25,2,,,89,
81,25,2,,,89,
82,25,2,,,89,
83,26,2,,,88,
84,26,2,,,93,
85,27,2,,,91,
86,28,2,,,92,
87,29,2,,,92,
88,31,2,,,93,
89,32,2,,,92,
90,33,2,,,94,
91,32,2,,,96,
92,32,2,,,96,
93,32,2,,,97,
94,31,2,,98,,
95,32,2,,98,,
96,32,2,,,104,
97,33,2,,,104,
98,34,2,,,105,
99,35,2,,,106,
100,36,2,,,114,
101,36,2,,,113,
102,36,2,,,114,
103,36,2,,,114,
104,36,2,,,117,
105,36,2,,,,120.0
106,38,2,,,,121.0
107,38,2,,,,121.0
108,39,2,,,,121.0
109,39,2,,,,121.0
110,43,4,,,,124.0
111,43,4,,,,124.0
112,43,4,,,,125.0
113,44,4,,,,123.0
114,44,4,,,,126.0
115,44,4,,,,125.0
116,44,4,,,,125.0
117,46,4,,,,125.0
118,47,4,,,,125.0
119,47,4,,,,125.0
120,44,4,,,,131.0
121,44,4,,,,131.0
122,44,4,,,,131.0
123,44,4,,,,132.0
124,41,4,,,,138.0
125,42,4,,,,138.0
126,43,4,,,,141.0
127,44,4,,,,141.0
128,45,2,,,,142.0
129,45,5,,,138,
130,48,5,,,138,
131,49,5,,,136,
132,49,5,,,,138.0
133,50,5,,,,140.0
134,50,5,,,,141.0
135,50,5,,,,142.0
136,52,7,,,,137.0
137,52,7,,,,137.0
138,52,7,,,,138.0
139,52,7,,,,138.0
140,52,7,,,,143.0
141,52,7,,,,142.0
142,51,7,,,,144.0
143,51,7,,,,142.0
144,51,7,,,,144.0
145,51,7,,,,144.0
146,52,7,,,,144.0
147,53,7,,,,145.0
148,49,4,,,,157.0
149,49,4,,,,157.0
150,49,4,,,,157.0
151,50,4,,,,157.0
152,50,4,,,,159.0
153,53,4,,,,160.0
154,54,4,,,,162.0
155,55,4,,,,161.0
156,55,4,,,,162.0
157,55,4,,,,163.0
158,55,4,,,,163.0
159,53,4,,,,165.0
160,55,4,,,,167.0
161,55,4,,,,167.0
162,55,4,,,,167.0
163,56,4,,,,167.0
164,57,4,,,,167.0
165,61,4,,,164,
166,60,4,,,168,
167,60,4,,,168,
168,60,4,,,170,
169,61,4,,,170,
170,62,4,,,169,
171,59,8,,,168,
172,55,8,,,177,
173,55,8,,,177,
174,56,8,,,178,
175,57,8,,,179,
176,59,8,,,182,
177,59,8,,,182,
178,62,8,,,,181.0
179,63,8,,,,181.0
180,63,8,,,,190.0
181,67,8,,,,190.0
182,67,8,,,,190.0
183,70,8,,,,190.0
184,70,10,,,,188.0
185,71,10,,,,188.0
186,72,10,,,187,
187,72,10,,,188,
188,70,10,,,190,
189,71,10,,,188,
190,72,10,,,188,
191,72,10,,,188,
192,70,10,,,194,
193,70,10,,,194,
194,72,10,,,194,
195,72,10,,,193,
196,72,10,,,195,
197,75,10,,,193,
198,76,10,,,195,
199,73,10,,,200,
200,76,10,,,203,
201,78,10,,,202,
202,78,16,,,202,
203,76,16,,,205,
204,77,18,,,204,
205,77,18,,,205,
206,77,19,,,205,
207,79,21,,,202,
208,80,19,,,208,
209,80,19,,,208,
210,83,19,,,210,
211,84,19,,,210,
212,84,19,,,210,
213,85,19,,,208,
214,85,19,,,209,
215,85,19,,,209,
216,86,20,,,208,
217,91,20,,,202,
218,93,20,,,201,
219,93,20,,,201,
220,91,20,,,208,
221,91,20,,,208,
222,79,13,,,,228.0
223,80,13,,,,227.0
224,81,13,,,,229.0
225,79,13,,,,231.0
226,79,13,,,,231.0
227,80,13,,,,231.0
228,83,13,,,,233.0
229,83,13,,,,233.0
230,81,13,,,,239.0
231,81,13,,,,240.0
232,81,13,,,,240.0
233,81,13,,,,239.0
234,80,13,,,,243.0
235,80,13,,,,244.0
236,79,13,,,,247.0
237,79,13,,,,247.0
238,80,11,,,,251.0
239,87,11,6,,,237.0
240,88,11,6,,,236.0
241,88,11,6,,,236.0
242,87,13,6,,,235.0
243,87,13,6,,,235.0
244,87,18,6,,230,
245,88,18,6,,230,
246,89,18,6,,229,
247,89,21,6,,225,
248,89,21,6,,230,
249,90,21,6,,232,
250,91,21,6,,233,
251,91,23,6,,230,
252,92,23,6,,230,
253,92,23,6,,230,
254,95,23,6,,231,
255,93,23,6,,234,
256,93,23,6,,234,
257,94,23,6,,234,
258,95,23,6,,234,
259,92,23,,,245,
260,91,24,,,246,
261,91,24,,,247,
262,88,24,,,254,
263,89,24,,,255,
264,89,24,,,255,
265,90,24,,,254,
266,94,24,,,249,
267,95,24,,,251,
268,92,24,,,,256.0
269,92,24,,,,256.0
270,91,24,3,,,255.0
271,91,24,3,,,255.0
272,90,20,3,,,261.0
273,91,20,3,,,261.0
274,92,20,3,,,262.0
275,92,20,3,,,262.0
276,93,20,3,,,264.0
277,93,22,3,,,264.0
278,95,22,3,,,264.0
279,96,22,3,,,265.0
280,97,20,,7,,265.0
281,97,20,,8,,265.0
282,99,20,,8,,265.0
283,99,20,,8,,265.0
284,101,18,,8,,269.0
285,99,17,,,,280.0
286,102,17,,,,277.0
287,102,17,,,,279.0
288,103,17,,,281,
289,103,17,,,281,
290,104,17,,,281,
291,105,17,,,279,
292,107,17,,,279,
293,110,17,,8,268,
294,108,19,,10,268,
295,108,19,,10,268,
296,108,19,,10,268,
297,113,19,,,274,
298,114,19,,,274,
