day_counter,0,1,2,3,4,5,6,7
0,,,3,,,,,
1,,,3,,,,,
2,,2,3,,,,,
3,,2,4,,,,,
4,1,4,4,,,,,
5,1,4,4,,,,,
6,3,4,6,,,,,
7,5,4,5,,,,,
8,7,4,5,,,,,
9,7,8,,,,,,
10,5,9,,,,,,
11,6,8,,,,,,
12,7,7,,,,,,
13,7,6,,,,,,
14,8,7,,,,,,
15,8,7,,,,,,
16,5,13,,,,,,
17,5,13,,,,,,
18,5,13,,,,,,
19,7,12,,,,,,
20,7,12,,,,,,
21,11,12,,,,,,
22,13,12,,,,,,
23,13,12,,,,,,
24,13,13,,,,,,
25,13,15,,,,,,
26,14,17,,,,,,
27,15,18,,,,,,
28,18,5,13,,,,,
29,19,5,13,,,,,
30,22,5,13,,,,,
31,22,5,13,,,,,
32,23,16,3,,,,,
33,23,16,3,,,,,
34,23,16,3,,,,,
35,19,25,3,,,,,
36,19,27,,,,,,
37,19,27,,,,,,
38,19,28,,,,,,
39,19,29,,,,,,
40,16,11,25,,,,,
41,15,5,,31,,,,
42,17,5,,32,,,,
43,17,5,,32,,,,
44,19,5,,32,,,,
45,20,14,,18,,,,
46,22,14,,18,,,,
47,22,15,,19,,,,
48,19,9,,31,,,,
49,,,,62,,,,
50,1,,,62,,,,
51,1,,,61,,,,
52,1,,,63,,,,
53,2,,,63,,,,
54,3,,,65,,,,
55,3,,,65,,,,
56,3,,,68,,,,
57,4,,,68,,,,
58,4,,,66,,,,
59,4,,,66,,,,
60,5,,,66,,,,
61,5,,,66,,,,
62,6,,,66,,,,
63,7,,,68,,,,
64,8,,,,69,,,
65,9,,,,70,,,
66,30,10,,,41,,,
67,29,10,,,44,,,
68,30,10,,44,,,,
69,32,10,,46,,,,
70,28,10,,52,,,,
71,28,10,,53,,,,
72,29,8,,56,,,,
73,29,8,,56,,,,
74,29,8,,56,,,,
75,29,6,,61,,,,
76,31,6,,60,,,,
77,31,6,,60,,,,
78,28,6,,,66,,,
79,28,6,,,65,,,
80,29,2,,,71,,,
81,29,2,,,70,,,
82,29,2,,,70,,,
83,30,2,,,70,,,
84,28,2,,,77,,,
85,29,2,,,77,,,
86,30,2,,,78,,,
87,31,2,,,78,,,
88,33,2,,,79,,,
89,33,2,,,79,,,
90,35,4,,,77,,,
91,35,6,,,74,,,
92,35,6,3,,70,,,
93,34,6,3,,73,,,
94,34,6,3,,73,,,
95,35,6,3,,73,,,
96,31,6,3,,84,,,
97,32,6,3,,84,,,
98,33,6,3,85,,,,
99,34,6,3,86,,,,
100,32,6,3,,97,,,
101,32,6,3,,96,,,
102,33,6,3,,95,,,
103,33,6,3,,95,,,
104,34,6,3,,97,,,
105,33,6,3,,,100.0,,
106,35,7,3,,,100.0,,
107,35,7,3,,,100.0,,
108,36,7,3,,,100.0,,
109,36,7,3,,,100.0,,
110,39,11,3,,,102.0,,
111,39,11,3,,,101.0,,
112,39,11,,,,105.0,,
113,39,11,,,,105.0,,
114,40,11,,,,106.0,,
115,40,11,,,,106.0,,
116,40,11,,,,106.0,,
117,42,11,,,,107.0,,
118,43,11,,,,106.0,,
119,44,11,,,,103.0,,
120,43,9,3,,,108.0,,
121,43,9,3,,,107.0,,
122,43,9,3,,,106.0,,
123,42,11,3,,,106.0,,
124,43,9,3,,,109.0,,
125,44,9,3,,,109.0,,
126,46,9,3,,,111.0,,
127,47,9,3,,,111.0,,
128,44,9,3,,,,115.0,
129,44,9,3,,,,115.0,
130,48,9,3,,,,113.0,
131,49,9,3,,,,111.0,
132,48,9,3,,,,,114.0
133,49,9,3,,,,,116.0
134,49,9,,,,,,120.0
135,49,9,,,,,,121.0
136,53,9,,,,,,116.0
137,53,9,,,,,,116.0
138,53,9,,,,,,117.0
139,53,9,,,,,,116.0
140,54,9,,,,,,120.0
141,54,9,,,,,,120.0
142,54,9,,,,,,121.0
143,54,9,,,,,,121.0
144,53,6,,,,,,126.0
145,53,6,,,,,,126.0
146,54,6,,,,,,127.0
147,55,6,,,,,,127.0
148,52,6,,,,,,134.0
149,52,6,,,,,,134.0
150,52,6,,,,,,134.0
151,53,6,,,,,,134.0
152,53,6,,,,,,136.0
153,56,6,,,,,,137.0
154,58,6,,,,,,138.0
155,58,6,8,,,,,130.0
156,57,6,8,,,,,132.0
157,57,6,8,,,,,133.0
158,57,6,8,,,,,132.0
159,57,6,8,,,,,133.0
160,59,6,8,,,,,135.0
161,59,8,8,,,,,132.0
162,59,8,8,,,,,132.0
163,60,8,8,,,,131.0,
164,61,8,8,,,,131.0,
165,64,8,8,,,,131.0,
166,64,8,8,,,,134.0,
167,67,8,8,,,,130.0,
168,68,10,8,,,127.0,,
169,69,10,8,,,127.0,,
170,70,10,8,,,126.0,,
171,68,10,8,,,129.0,,
172,67,10,,,,143.0,,
173,67,10,,,,142.0,,
174,68,10,,,,143.0,,
175,69,10,,,,144.0,,
176,70,10,,,,147.0,,
177,70,10,,,,148.0,,
178,73,10,,,,149.0,,
179,74,10,,,,149.0,,
180,77,8,,,,156.0,,
181,81,8,,,,156.0,,
182,82,11,,,,151.0,,
183,81,7,,,,159.0,,
184,79,7,,,,162.0,,
185,80,7,,,,162.0,,
186,81,7,,,,162.0,,
187,81,7,,,,163.0,,
188,79,7,,,,165.0,,
189,80,7,,,,165.0,,
190,81,7,,,,165.0,,
191,81,7,,,,164.0,,
192,82,7,,,,167.0,,
193,82,7,,,,167.0,,
194,84,7,,,,166.0,,
195,84,7,,,,166.0,,
196,83,7,,,167,,,
197,85,7,,,166,,,
198,86,7,,,167,,,
199,85,7,,,170,,,
200,89,5,,,173,,,
201,91,5,,,173,,,
202,94,3,3,,176,,,
203,92,3,3,,179,,,
204,94,3,3,,180,,,
205,93,5,3,,179,,,
206,92,7,3,,178,,,
207,94,7,3,,178,,,
208,90,7,,,191,,,
209,90,7,,,191,,,
210,93,7,,,193,,,
211,94,7,,,193,,,
212,95,7,,,191,,,
213,95,7,,,191,,,
214,94,9,,,191,,,
215,93,11,,,190,,,
216,94,11,,,191,,,
217,94,11,,,190,,,
218,96,11,,,190,,,
219,97,11,,,187,,,
220,93,11,,,195,,,
221,93,11,,,194,,,
222,68,9,,,221,,,
223,69,9,,,221,,,
224,70,9,,,223,,,
225,70,9,,,224,,,
226,70,9,,,224,,,
227,71,9,,,224,,,
228,74,9,,,226,,,
229,74,9,,,225,,,
230,74,7,,,231,,,
231,74,7,,,231,,,
232,74,7,,,231,,,
233,74,7,,,231,,,
234,75,7,,,233,,,
235,75,7,,,234,,,
236,74,7,,,238,,,
237,74,7,,,238,,,
238,91,11,,,217,,,
239,92,13,,,213,,,
240,92,13,,,214,,,
241,92,13,,,214,,,
242,92,13,,,215,,,
243,92,13,,,215,,,
244,91,13,,,,217.0,,
245,92,13,,,,217.0,,
246,93,13,,,,217.0,,
247,93,13,,,,217.0,,
248,93,13,,,,222.0,,
249,94,13,,,,223.0,,
250,95,13,,,,224.0,,
251,97,13,,,,221.0,,
252,98,13,,,,220.0,,
