day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,3,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,,
4,2,,7,,,,,,,,,,,,,,,
5,2,,7,,,,,,,,,,,,,,,
6,4,,9,,,,,,,,,,,,,,,
7,6,,9,,,,,,,,,,,,,,,
8,8,,9,,,,,,,,,,,,,,,
9,8,,9,,,,,,,,,,,,,,,
10,5,,13,,,,,,,,,,,,,,,
11,6,,13,,,,,,,,,,,,,,,
12,6,,14,,,,,,,,,,,,,,,
13,6,,13,,,,,,,,,,,,,,,
14,7,2,13,,,,,,,,,,,,,,,
15,6,2,13,,,,,,,,,,,,,,,
16,6,,,18,,,,,,,,,,,,,,
17,6,,,18,,,,,,,,,,,,,,
18,7,,,18,,,,,,,,,,,,,,
19,8,,,18,,,,,,,,,,,,,,
20,8,,,20,,,,,,,,,,,,,,
21,12,,,20,,,,,,,,,,,,,,
22,15,,,20,,,,,,,,,,,,,,
23,15,,,20,,,,,,,,,,,,,,
24,15,,,23,,,,,,,,,,,,,,
25,15,,,25,,,,,,,,,,,,,,
26,17,,,26,,,,,,,,,,,,,,
27,18,,,27,,,,,,,,,,,,,,
28,19,2,,28,,,,,,,,,,,,,,
29,20,2,,28,,,,,,,,,,,,,,
30,23,2,,28,,,,,,,,,,,,,,
31,23,2,,29,,,,,,,,,,,,,,
32,22,2,,34,,,,,,,,,,,,,,
33,22,2,,34,,,,,,,,,,,,,,
34,22,2,,34,,,,,,,,,,,,,,
35,19,,,,43,,,,,,,,,,,,,
36,19,,,,44,,,,,,,,,,,,,
37,19,,,,44,,,,,,,,,,,,,
38,19,,,,45,,,,,,,,,,,,,
39,19,,,,46,,,,,,,,,,,,,
40,17,2,,,50,,,,,,,,,,,,,
41,17,2,,,51,,,,,,,,,,,,,
42,19,2,,,52,,,,,,,,,,,,,
43,19,2,,,52,,,,,,,,,,,,,
44,21,2,,,52,,,,,,,,,,,,,
45,21,2,,,52,,,,,,,,,,,,,
46,23,2,,,52,,,,,,,,,,,,,
47,22,4,,,53,,,,,,,,,,,,,
48,20,4,,,,58.0,,,,,,,,,,,,
49,2,,,,,,83.0,,,,,,,,,,,
50,3,,,,,,83.0,,,,,,,,,,,
51,3,,,,,,83.0,,,,,,,,,,,
52,2,,,,,,85.0,,,,,,,,,,,
53,3,,,,,,85.0,,,,,,,,,,,
54,4,,,,,,87.0,,,,,,,,,,,
55,4,,,,,,87.0,,,,,,,,,,,
56,3,,,,,,91.0,,,,,,,,,,,
57,4,,,,,,91.0,,,,,,,,,,,
58,4,,,,,,91.0,,,,,,,,,,,
59,4,,,,,,91.0,,,,,,,,,,,
60,5,,,,,,91.0,,,,,,,,,,,
61,5,,,,,,91.0,,,,,,,,,,,
62,6,,,,,,91.0,,,,,,,,,,,
63,8,,,,,,93.0,,,,,,,,,,,
64,9,,,,,,94.0,,,,,,,,,,,
65,10,,,,,,95.0,,,,,,,,,,,
66,13,,,,,,95.0,,,,,,,,,,,
67,12,2,,,,,96.0,,,,,,,,,,,
68,30,6,,,,75.0,,,,,,,,,,,,
69,32,6,,,,77.0,,,,,,,,,,,,
70,28,8,,,,81.0,,,,,,,,,,,,
71,28,8,,,,82.0,,,,,,,,,,,,
72,29,8,,,,84.0,,,,,,,,,,,,
73,29,8,,,,84.0,,,,,,,,,,,,
74,29,8,,,,85.0,,,,,,,,,,,,
75,28,6,6,,,85.0,,,,,,,,,,,,
76,30,6,6,,,86.0,,,,,,,,,,,,
77,30,6,6,,,86.0,,,,,,,,,,,,
78,26,6,,,,,100.0,,,,,,,,,,,
79,26,6,,,,,100.0,,,,,,,,,,,
80,26,6,,,,,105.0,,,,,,,,,,,
81,26,6,,,,,105.0,,,,,,,,,,,
82,26,6,,,,,105.0,,,,,,,,,,,
83,27,6,,,,,105.0,,,,,,,,,,,
84,28,6,,,,,109.0,,,,,,,,,,,
85,29,6,,,,,109.0,,,,,,,,,,,
86,30,6,,,,,110.0,,,,,,,,,,,
87,32,6,,,,,108.0,,,,,,,,,,,
88,33,4,,,,,112.0,,,,,,,,,,,
89,33,4,,,,,113.0,,,,,,,,,,,
90,34,4,,,,,115.0,,,,,,,,,,,
91,34,4,,,,,116.0,,,,,,,,,,,
92,34,4,,,,,116.0,,,,,,,,,,,
93,35,4,,,,,117.0,,,,,,,,,,,
94,35,4,,,,,118.0,,,,,,,,,,,
95,36,4,,,,,118.0,,,,,,,,,,,
96,33,4,,,,,,128.0,,,,,,,,,,
97,34,4,,,,,,128.0,,,,,,,,,,
98,35,4,,,,,,130.0,,,,,,,,,,
99,36,4,,,,,,131.0,,,,,,,,,,
100,37,4,,,,,,,139.0,,,,,,,,,
101,38,4,,,,,,,137.0,,,,,,,,,
102,38,4,,,,,,,,138.0,,,,,,,,
103,38,4,,,,,,,,137.0,,,,,,,,
104,38,4,,,,,,,,140.0,,,,,,,,
105,38,4,,,,,,,,144.0,,,,,,,,
106,40,4,,,,,,,,145.0,,,,,,,,
107,40,4,,,,,,,,145.0,,,,,,,,
108,41,4,,,,,,,,145.0,,,,,,,,
109,41,4,,,,,,,,145.0,,,,,,,,
110,46,4,,,,,,,,149.0,,,,,,,,
111,46,4,,,,,,,,149.0,,,,,,,,
112,47,6,,,,,,,,146.0,,,,,,,,
113,47,6,,,,,,,,146.0,,,,,,,,
114,47,6,,,,,,,,149.0,,,,,,,,
115,47,6,,,,,,,,149.0,,,,,,,,
116,47,6,,,,,,,,149.0,,,,,,,,
117,49,6,,,,,,,,150.0,,,,,,,,
118,50,6,,,,,,,,150.0,,,,,,,,
119,50,6,,,,,,,,150.0,,,,,,,,
120,47,6,,,,,,,,158.0,,,,,,,,
121,47,6,,,,,,,,157.0,,,,,,,,
122,47,6,,,,,,,,157.0,,,,,,,,
123,47,6,,,,,,,,158.0,,,,,,,,
124,45,6,,,,,,,,163.0,,,,,,,,
125,46,6,,,,,,,,163.0,,,,,,,,
126,48,6,,,,,,,,165.0,,,,,,,,
127,49,6,,,,,,,,165.0,,,,,,,,
128,46,6,,,,,,,,169.0,,,,,,,,
129,46,6,,,,,,,,169.0,,,,,,,,
130,49,6,,,,,,,,169.0,,,,,,,,
131,49,6,,,,,,,,169.0,,,,,,,,
132,49,6,,,,,,,,171.0,,,,,,,,
133,50,6,,,,,,,,173.0,,,,,,,,
134,48,6,,,,,,,,175.0,,,,,,,,
135,48,6,,,,,,,,176.0,,,,,,,,
136,49,6,,,,,,,,176.0,,,,,,,,
137,49,6,,,,,,,,176.0,,,,,,,,
138,49,6,,,,,,,,177.0,,,,,,,,
139,49,6,,,,,,,,177.0,,,,,,,,
140,51,6,,,,,,,,180.0,,,,,,,,
141,51,6,,,,,,,,180.0,,,,,,,,
142,51,6,,,,,,,,181.0,,,,,,,,
143,51,6,,,,,,,,181.0,,,,,,,,
144,52,6,,,,,,,,182.0,,,,,,,,
