day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,3,,,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,,,,,,,
4,2,2,5,,,,,,,,,,,,,,,,,,
5,2,2,5,,,,,,,,,,,,,,,,,,
6,4,2,7,,,,,,,,,,,,,,,,,,
7,6,2,7,,,,,,,,,,,,,,,,,,
8,8,2,7,,,,,,,,,,,,,,,,,,
9,8,2,7,,,,,,,,,,,,,,,,,,
10,5,6,7,,,,,,,,,,,,,,,,,,
11,6,6,7,,,,,,,,,,,,,,,,,,
12,6,6,7,,,,,,,,,,,,,,,,,,
13,6,6,6,,,,,,,,,,,,,,,,,,
14,6,8,6,,,,,,,,,,,,,,,,,,
15,6,8,6,,,,,,,,,,,,,,,,,,
16,6,,,17,,,,,,,,,,,,,,,,,
17,6,,,17,,,,,,,,,,,,,,,,,
18,6,,,17,,,,,,,,,,,,,,,,,
19,8,,,17,,,,,,,,,,,,,,,,,
20,8,,,19,,,,,,,,,,,,,,,,,
21,12,,,19,,,,,,,,,,,,,,,,,
22,15,,,19,,,,,,,,,,,,,,,,,
23,15,,,18,,,,,,,,,,,,,,,,,
24,15,,,21,,,,,,,,,,,,,,,,,
25,14,2,,21,,,,,,,,,,,,,,,,,
26,16,2,,22,,,,,,,,,,,,,,,,,
27,16,4,,22,,,,,,,,,,,,,,,,,
28,17,7,,22,,,,,,,,,,,,,,,,,
29,18,7,,22,,,,,,,,,,,,,,,,,
30,21,7,,22,,,,,,,,,,,,,,,,,
31,19,9,,22,,,,,,,,,,,,,,,,,
32,18,9,,27,,,,,,,,,,,,,,,,,
33,18,9,,27,,,,,,,,,,,,,,,,,
34,18,9,,27,,,,,,,,,,,,,,,,,
35,16,9,,34,,,,,,,,,,,,,,,,,
36,16,9,,35,,,,,,,,,,,,,,,,,
37,16,9,,35,,,,,,,,,,,,,,,,,
38,16,11,33,,,,,,,,,,,,,,,,,,
39,16,11,34,,,,,,,,,,,,,,,,,,
40,13,11,,41,,,,,,,,,,,,,,,,,
41,13,11,,42,,,,,,,,,,,,,,,,,
42,15,11,,43,,,,,,,,,,,,,,,,,
43,15,11,,43,,,,,,,,,,,,,,,,,
44,17,11,,43,,,,,,,,,,,,,,,,,
45,17,11,,43,,,,,,,,,,,,,,,,,
46,19,11,,43,,,,,,,,,,,,,,,,,
47,19,11,,45,,,,,,,,,,,,,,,,,
48,18,4,,56,,,,,,,,,,,,,,,,,
49,5,,,,,76.0,,,,,,,,,,,,,,,
50,6,,,,,76.0,,,,,,,,,,,,,,,
51,6,,,,,75.0,,,,,,,,,,,,,,,
52,6,,,,,77.0,,,,,,,,,,,,,,,
53,7,,,,,77.0,,,,,,,,,,,,,,,
54,8,,,,,79.0,,,,,,,,,,,,,,,
55,8,,,,,79.0,,,,,,,,,,,,,,,
56,8,,,,,82.0,,,,,,,,,,,,,,,
57,9,,,,,82.0,,,,,,,,,,,,,,,
58,9,,,,,82.0,,,,,,,,,,,,,,,
59,9,,,,,82.0,,,,,,,,,,,,,,,
60,10,,,,,82.0,,,,,,,,,,,,,,,
61,10,,,,,82.0,,,,,,,,,,,,,,,
62,11,,,,,82.0,,,,,,,,,,,,,,,
63,12,,,,,85.0,,,,,,,,,,,,,,,
64,13,,,,,86.0,,,,,,,,,,,,,,,
65,14,,,,,87.0,,,,,,,,,,,,,,,
66,17,,,,,87.0,,,,,,,,,,,,,,,
67,16,,,,,90.0,,,,,,,,,,,,,,,
68,30,5,,,72,,,,,,,,,,,,,,,,
69,31,8,,,72,,,,,,,,,,,,,,,,
70,27,8,,,78,,,,,,,,,,,,,,,,
71,27,8,,,79,,,,,,,,,,,,,,,,
72,27,8,,,,81.0,,,,,,,,,,,,,,,
73,27,8,,,,81.0,,,,,,,,,,,,,,,
74,27,8,,,,82.0,,,,,,,,,,,,,,,
75,27,5,,,,,88.0,,,,,,,,,,,,,,
76,28,7,,,,,88.0,,,,,,,,,,,,,,
77,28,7,,,,,88.0,,,,,,,,,,,,,,
78,25,5,,,,,,97.0,,,,,,,,,,,,,
79,25,5,,,,,,97.0,,,,,,,,,,,,,
80,24,5,,,,,,103.0,,,,,,,,,,,,,
81,24,5,,,,,,103.0,,,,,,,,,,,,,
82,24,5,,,,,,103.0,,,,,,,,,,,,,
83,25,5,,,,,,103.0,,,,,,,,,,,,,
84,26,5,,,,,,107.0,,,,,,,,,,,,,
85,27,5,,,,,,107.0,,,,,,,,,,,,,
86,27,5,,,,,,109.0,,,,,,,,,,,,,
87,28,5,,,,,,109.0,,,,,,,,,,,,,
88,30,5,,,,,,109.0,,,,,,,,,,,,,
89,30,5,,,,,,110.0,,,,,,,,,,,,,
90,32,5,,,,,,111.0,,,,,,,,,,,,,
91,33,3,,,,,,112.0,,,,,,,,,,,,,
92,33,3,,,,,,112.0,,,,,,,,,,,,,
93,32,3,,,,,,114.0,,,,,,,,,,,,,
94,32,3,,,,,,115.0,,,,,,,,,,,,,
95,33,3,,,,,,114.0,,,,,,,,,,,,,
96,33,,,,,,,,123.0,,,,,,,,,,,,
97,34,,,,,,,,123.0,,,,,,,,,,,,
98,35,,,,,,,,125.0,,,,,,,,,,,,
99,36,,,,,,,,126.0,,,,,,,,,,,,
100,37,,,,,,,,134.0,,,,,,,,,,,,
101,37,,,,,,,,134.0,,,,,,,,,,,,
102,38,,,,,,,,133.0,,,,,,,,,,,,
103,38,,,,,,,,133.0,,,,,,,,,,,,
104,39,,,,,,,,134.0,,,,,,,,,,,,
105,40,,,,,,,,137.0,,,,,,,,,,,,
106,42,,,,,,,,138.0,,,,,,,,,,,,
107,42,,,,,,,,138.0,,,,,,,,,,,,
108,43,,,,,,,,138.0,,,,,,,,,,,,
109,43,,,,,,,,138.0,,,,,,,,,,,,
110,46,4,,,,,,,140.0,,,,,,,,,,,,
111,46,4,,,,,,,140.0,,,,,,,,,,,,
112,45,4,,,,,,,142.0,,,,,,,,,,,,
113,45,4,,,,,,,142.0,,,,,,,,,,,,
114,44,4,,,,,,,146.0,,,,,,,,,,,,
115,43,4,,,,,,,146.0,,,,,,,,,,,,
116,43,4,,,,,,,145.0,,,,,,,,,,,,
117,45,4,,,,,,,146.0,,,,,,,,,,,,
118,45,4,,,,,,,146.0,,,,,,,,,,,,
119,45,4,,,,,,,146.0,,,,,,,,,,,,
120,42,4,,,,,,,153.0,,,,,,,,,,,,
121,42,4,,,,,,,153.0,,,,,,,,,,,,
122,42,4,,,,,,,153.0,,,,,,,,,,,,
123,42,4,,,,,,,154.0,,,,,,,,,,,,
124,42,6,,,,,,,,154.0,,,,,,,,,,,
125,43,6,,,,,,,,154.0,,,,,,,,,,,
126,44,6,,,,,,,,156.0,,,,,,,,,,,
127,45,6,,,,,,,,156.0,,,,,,,,,,,
128,45,6,,,,,,,,,157.0,,,,,,,,,,
129,45,6,,,,,,,,,157.0,,,,,,,,,,
