day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,3,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,,,
4,2,2,5,,,,,,,,,,,,,,
5,2,2,5,,,,,,,,,,,,,,
6,4,2,,,7,,,,,,,,,,,,
7,6,2,,,7,,,,,,,,,,,,
8,8,2,,,7,,,,,,,,,,,,
9,7,2,,,6,,,,,,,,,,,,
10,5,2,,,,9.0,,,,,,,,,,,
11,5,2,,,,9.0,,,,,,,,,,,
12,6,,,,,10.0,,,,,,,,,,,
13,4,,,,,10.0,,,,,,,,,,,
14,5,2,,,,10.0,,,,,,,,,,,
15,5,2,,,,10.0,,,,,,,,,,,
16,3,,,,,17.0,,,,,,,,,,,
17,3,,,,,17.0,,,,,,,,,,,
18,4,,,,,17.0,,,,,,,,,,,
19,5,,,,,17.0,,,,,,,,,,,
20,5,,,,,19.0,,,,,,,,,,,
21,8,,,,,19.0,,,,,,,,,,,
22,13,,,,,16.0,,,,,,,,,,,
23,13,,,,,15.0,,,,,,,,,,,
24,14,,,,,17.0,,,,,,,,,,,
25,12,,,,,20.0,,,,,,,,,,,
26,14,,,,,21.0,,,,,,,,,,,
27,15,,,,,22.0,,,,,,,,,,,
28,17,2,,,21,,,,,,,,,,,,
29,18,2,,,21,,,,,,,,,,,,
30,21,2,,,21,,,,,,,,,,,,
31,20,2,,,22,,,,,,,,,,,,
32,20,2,,,26,,,,,,,,,,,,
33,23,2,,,22,,,,,,,,,,,,
34,23,2,,,22,,,,,,,,,,,,
35,18,2,,,,,32.0,,,,,,,,,,
36,18,2,,,,,33.0,,,,,,,,,,
37,18,2,,,,,33.0,,,,,,,,,,
38,18,2,,,,,34.0,,,,,,,,,,
39,18,2,,,,,34.0,,,,,,,,,,
40,15,4,,,,,39.0,,,,,,,,,,
41,15,4,,,,,39.0,,,,,,,,,,
42,17,4,,,,,40.0,,,,,,,,,,
43,17,4,,,,,40.0,,,,,,,,,,
44,19,4,,,,,39.0,,,,,,,,,,
45,19,4,,,,,39.0,,,,,,,,,,
46,21,4,,,,,39.0,,,,,,,,,,
47,21,4,,,,,41.0,,,,,,,,,,
48,16,2,,,,,49.0,,,,,,,,,,
49,3,,,,,,,67.0,,,,,,,,,
50,4,,,,,,,67.0,,,,,,,,,
51,4,,,,,,,67.0,,,,,,,,,
52,4,,,,,,,69.0,,,,,,,,,
53,5,,,,,,,68.0,,,,,,,,,
54,6,,,,,,,70.0,,,,,,,,,
55,6,,,,,,,70.0,,,,,,,,,
56,5,,,,,,,74.0,,,,,,,,,
57,6,,,,,,,74.0,,,,,,,,,
58,6,,,,,,,74.0,,,,,,,,,
59,6,,,,,,,74.0,,,,,,,,,
60,7,,,,,,,74.0,,,,,,,,,
61,6,,,,,,,74.0,,,,,,,,,
62,7,,,,,,,74.0,,,,,,,,,
63,9,,,,,,,76.0,,,,,,,,,
64,10,,,,,,,77.0,,,,,,,,,
65,11,,,,,,,78.0,,,,,,,,,
66,14,,,,,,,78.0,,,,,,,,,
67,12,2,,,,,,80.0,,,,,,,,,
68,13,2,,,,,,81.0,,,,,,,,,
69,15,2,,,,,,83.0,,,,,,,,,
70,22,6,,,,,,73.0,,,,,,,,,
71,22,6,,,,,,74.0,,,,,,,,,
72,23,6,,,,,,75.0,,,,,,,,,
73,23,6,,,,,,75.0,,,,,,,,,
74,23,6,,,,,,75.0,,,,,,,,,
75,24,4,,,,,,79.0,,,,,,,,,
76,26,4,,,,,,79.0,,,,,,,,,
77,26,4,,,,,,79.0,,,,,,,,,
78,25,4,,,,,,84.0,,,,,,,,,
79,25,4,,,,,,84.0,,,,,,,,,
80,26,2,,,,,,,89.0,,,,,,,,
81,26,2,,,,,,,89.0,,,,,,,,
82,26,2,,,,,,,89.0,,,,,,,,
83,27,2,,,,,,,89.0,,,,,,,,
84,28,2,,,,,,,92.0,,,,,,,,
85,30,2,,,,,,,89.0,,,,,,,,
86,30,2,,,,,,,91.0,,,,,,,,
87,31,2,,,,,,,91.0,,,,,,,,
88,33,2,,,,,,,92.0,,,,,,,,
89,33,2,,,,,,,93.0,,,,,,,,
90,34,2,,,,,,,95.0,,,,,,,,
91,33,2,,,,,,,97.0,,,,,,,,
92,33,2,,,,,,,97.0,,,,,,,,
93,33,2,,,,,,,99.0,,,,,,,,
94,32,2,,,,,,,100.0,,,,,,,,
95,33,2,,,,,,,100.0,,,,,,,,
96,33,2,,,,,,,107.0,,,,,,,,
97,34,2,,,,,,,107.0,,,,,,,,
98,37,2,,,,,,,106.0,,,,,,,,
99,38,2,,,,,,,107.0,,,,,,,,
100,38,2,,,,,,,116.0,,,,,,,,
101,38,2,,,,,,,116.0,,,,,,,,
102,38,2,,,,,,,117.0,,,,,,,,
103,38,2,,,,,,,117.0,,,,,,,,
104,38,2,,,,,,,120.0,,,,,,,,
105,39,2,,,,,,,123.0,,,,,,,,
106,41,4,,,,,,,121.0,,,,,,,,
107,41,4,,,,,,,121.0,,,,,,,,
108,41,4,,,,,,,121.0,,,,,,,,
109,41,4,,,,,,,121.0,,,,,,,,
110,46,4,,,,,,,123.0,,,,,,,,
111,46,4,,,,,,,123.0,,,,,,,,
112,45,4,,,,,,,125.0,,,,,,,,
113,46,4,,,,,,,123.0,,,,,,,,
114,46,4,,,,,,,126.0,,,,,,,,
115,46,4,,,,,,,125.0,,,,,,,,
116,46,4,,,,,,,125.0,,,,,,,,
117,48,4,,,,,,,,125.0,,,,,,,
118,49,4,,,,,,,,125.0,,,,,,,
119,49,4,,,,,,,,125.0,,,,,,,
120,48,2,,,,,,,,133.0,,,,,,,
121,48,2,,,,,,,,133.0,,,,,,,
122,49,2,,,,,,,,131.0,,,,,,,
123,49,2,,,,,,,,132.0,,,,,,,
124,47,2,,,,,,,,136.0,,,,,,,
125,48,2,,,,,,,,136.0,,,,,,,
126,49,2,,,,,,,,139.0,,,,,,,
127,50,2,,,,,,,,139.0,,,,,,,
128,49,2,,,,,,,,141.0,,,,,,,
129,49,2,,,,,,,,140.0,,,,,,,
130,51,2,,,,,,,,140.0,,,,,,,
131,50,2,,,,,,,,140.0,,,,,,,
132,51,2,,,,,,,,,141.0,,,,,,
133,50,2,,,,,,,,,144.0,,,,,,
134,50,2,,,,,,,,,144.0,,,,,,
135,50,4,,,,,,,,,142.0,,,,,,
136,51,4,,,,,,,,,142.0,,,,,,
137,51,4,,,,,,,,,141.0,,,,,,
138,51,4,,,,,,,,,142.0,,,,,,
139,51,4,,,,,,,,,142.0,,,,,,
140,54,4,,,,,,,,,143.0,,,,,,
141,54,4,,,,,,,,,143.0,,,,,,
142,54,4,,,,,,,,,144.0,,,,,,
143,54,4,,,,,,,,,144.0,,,,,,
144,53,4,,,,,,,,,146.0,,,,,,
145,53,4,,,,,,,,,146.0,,,,,,
146,54,4,,,,,,,,,147.0,,,,,,
147,55,4,,,,,,,,,148.0,,,,,,
