day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,3,,,,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,,,,,,,,
10,5,,,12,,,,,,,,,,,,,,,,,,
11,6,,,12,,,,,,,,,,,,,,,,,,
12,6,,,13,,,,,,,,,,,,,,,,,,
13,6,,,13,,,,,,,,,,,,,,,,,,
14,7,2,,13,,,,,,,,,,,,,,,,,,
15,7,2,,13,,,,,,,,,,,,,,,,,,
16,7,,,,18,,,,,,,,,,,,,,,,,
17,7,,,,18,,,,,,,,,,,,,,,,,
18,8,,,,18,,,,,,,,,,,,,,,,,
19,10,,,,18,,,,,,,,,,,,,,,,,
20,10,,,,20,,,,,,,,,,,,,,,,,
21,14,,,,20,,,,,,,,,,,,,,,,,
22,17,,,,20,,,,,,,,,,,,,,,,,
23,19,,,,17,,,,,,,,,,,,,,,,,
24,19,2,,,,18.0,,,,,,,,,,,,,,,,
25,20,2,,,,,19.0,,,,,,,,,,,,,,,
26,22,2,,,,,20.0,,,,,,,,,,,,,,,
27,23,2,,,,,21.0,,,,,,,,,,,,,,,
28,25,,3,,,,22.0,,,,,,,,,,,,,,,
29,26,,3,,,,22.0,,,,,,,,,,,,,,,
30,29,,3,,,,22.0,,,,,,,,,,,,,,,
31,28,2,3,,,,22.0,,,,,,,,,,,,,,,
32,28,2,3,,,,26.0,,,,,,,,,,,,,,,
33,28,2,3,,,,26.0,,,,,,,,,,,,,,,
34,28,2,3,,,,26.0,,,,,,,,,,,,,,,
35,26,,3,,,,35.0,,,,,,,,,,,,,,,
36,26,,3,,,,36.0,,,,,,,,,,,,,,,
37,26,,3,,,,36.0,,,,,,,,,,,,,,,
38,26,,3,,,,37.0,,,,,,,,,,,,,,,
39,26,,3,,,,38.0,,,,,,,,,,,,,,,
40,24,2,,,,,45.0,,,,,,,,,,,,,,,
41,24,2,,,,,46.0,,,,,,,,,,,,,,,
42,26,2,,,,,47.0,,,,,,,,,,,,,,,
43,26,2,,,,,47.0,,,,,,,,,,,,,,,
44,28,2,,,,,47.0,,,,,,,,,,,,,,,
45,28,2,,,,,47.0,,,,,,,,,,,,,,,
46,30,2,,,,,47.0,,,,,,,,,,,,,,,
47,30,2,,,,,49.0,,,,,,,,,,,,,,,
48,27,2,,,,,55.0,,,,,,,,,,,,,,,
49,6,,,,,,81.0,,,,,,,,,,,,,,,
50,7,,,,,,81.0,,,,,,,,,,,,,,,
51,7,,,,,,80.0,,,,,,,,,,,,,,,
52,7,,,,,,82.0,,,,,,,,,,,,,,,
53,8,,,,,,82.0,,,,,,,,,,,,,,,
54,9,,,,,,84.0,,,,,,,,,,,,,,,
55,9,,,,,,84.0,,,,,,,,,,,,,,,
56,9,,,,,,87.0,,,,,,,,,,,,,,,
57,10,,,,,,87.0,,,,,,,,,,,,,,,
58,10,,,,,,87.0,,,,,,,,,,,,,,,
59,10,,,,,,87.0,,,,,,,,,,,,,,,
60,11,,,,,,87.0,,,,,,,,,,,,,,,
61,11,,,,,,87.0,,,,,,,,,,,,,,,
62,12,,,,,,87.0,,,,,,,,,,,,,,,
63,14,,,,,,89.0,,,,,,,,,,,,,,,
64,15,,,,,,90.0,,,,,,,,,,,,,,,
65,16,,,,,,91.0,,,,,,,,,,,,,,,
66,19,,,,,,91.0,,,,,,,,,,,,,,,
67,18,,,,,,94.0,,,,,,,,,,,,,,,
68,18,,,,,,95.0,,,,,,,,,,,,,,,
69,19,3,,,,,95.0,,,,,,,,,,,,,,,
70,17,5,,,,,97.0,,,,,,,,,,,,,,,
71,17,5,,,,,98.0,,,,,,,,,,,,,,,
72,18,5,,,,,100.0,,,,,,,,,,,,,,,
73,18,5,,,,,100.0,,,,,,,,,,,,,,,
74,18,5,,,,,101.0,,,,,,,,,,,,,,,
75,17,5,,,,,105.0,,,,,,,,,,,,,,,
76,19,5,,,,,106.0,,,,,,,,,,,,,,,
77,19,5,,,,,106.0,,,,,,,,,,,,,,,
78,19,3,,,,,,112.0,,,,,,,,,,,,,,
79,19,3,,,,,,112.0,,,,,,,,,,,,,,
80,20,3,,,,,,116.0,,,,,,,,,,,,,,
81,20,3,,,,,,116.0,,,,,,,,,,,,,,
82,20,3,,,,,,116.0,,,,,,,,,,,,,,
83,21,3,,,,,,116.0,,,,,,,,,,,,,,
84,21,3,,,,,,121.0,,,,,,,,,,,,,,
85,22,3,,,,,,121.0,,,,,,,,,,,,,,
86,23,3,,,,,,122.0,,,,,,,,,,,,,,
87,40,7,,,,,,101.0,,,,,,,,,,,,,,
88,42,7,,,,,,102.0,,,,,,,,,,,,,,
89,42,7,,,,,,103.0,,,,,,,,,,,,,,
90,43,7,,,,,,105.0,,,,,,,,,,,,,,
91,43,7,,,,,,106.0,,,,,,,,,,,,,,
92,43,7,,,,,,106.0,,,,,,,,,,,,,,
93,40,7,,,,,,110.0,,,,,,,,,,,,,,
94,40,7,,,,,,111.0,,,,,,,,,,,,,,
95,41,7,,,,,,111.0,,,,,,,,,,,,,,
96,40,5,,,,,,121.0,,,,,,,,,,,,,,
97,41,5,,,,,,121.0,,,,,,,,,,,,,,
98,42,5,,,,,,123.0,,,,,,,,,,,,,,
99,43,5,,,,,,124.0,,,,,,,,,,,,,,
100,44,5,,,,,,,132.0,,,,,,,,,,,,,
101,44,5,,,,,,,132.0,,,,,,,,,,,,,
102,44,5,,,,,,,133.0,,,,,,,,,,,,,
103,44,5,,,,,,,133.0,,,,,,,,,,,,,
104,44,5,,,,,,,136.0,,,,,,,,,,,,,
105,44,5,,,,,,,140.0,,,,,,,,,,,,,
106,45,7,,,,,,,140.0,,,,,,,,,,,,,
107,44,7,,,,,,,140.0,,,,,,,,,,,,,
108,45,7,,,,,,,140.0,,,,,,,,,,,,,
109,45,7,,,,,,,140.0,,,,,,,,,,,,,
110,49,9,,,,,,,143.0,,,,,,,,,,,,,
111,49,9,,,,,,,143.0,,,,,,,,,,,,,
112,48,9,,,,,,,145.0,,,,,,,,,,,,,
113,48,9,,,,,,,145.0,,,,,,,,,,,,,
114,48,9,,,,,,,147.0,,,,,,,,,,,,,
115,48,9,,,,,,,147.0,,,,,,,,,,,,,
116,48,9,,,,,,,147.0,,,,,,,,,,,,,
117,50,9,,,,,,,148.0,,,,,,,,,,,,,
118,51,9,,,,,,,148.0,,,,,,,,,,,,,
119,51,9,,,,,,,148.0,,,,,,,,,,,,,
120,50,9,,,,,,,154.0,,,,,,,,,,,,,
121,50,9,,,,,,,154.0,,,,,,,,,,,,,
122,50,9,,,,,,,154.0,,,,,,,,,,,,,
