day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,3,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,,,,,
4,1,4,4,,,,,,,,,,,,,,,,
5,1,4,4,,,,,,,,,,,,,,,,
6,3,4,6,,,,,,,,,,,,,,,,
7,5,4,6,,,,,,,,,,,,,,,,
8,7,4,6,,,,,,,,,,,,,,,,
9,7,9,,,,,,,,,,,,,,,,,
10,5,2,10,,,,,,,,,,,,,,,,
11,6,2,9,,,,,,,,,,,,,,,,
12,6,2,10,,,,,,,,,,,,,,,,
13,6,2,10,,,,,,,,,,,,,,,,
14,7,4,10,,,,,,,,,,,,,,,,
15,7,2,10,,,,,,,,,,,,,,,,
16,5,2,15,,,,,,,,,,,,,,,,
17,6,,15,,,,,,,,,,,,,,,,
18,7,,15,,,,,,,,,,,,,,,,
19,8,,15,,,,,,,,,,,,,,,,
20,7,,18,,,,,,,,,,,,,,,,
21,11,,18,,,,,,,,,,,,,,,,
22,14,,18,,,,,,,,,,,,,,,,
23,15,,16,,,,,,,,,,,,,,,,
24,15,,19,,,,,,,,,,,,,,,,
25,14,,22,,,,,,,,,,,,,,,,
26,16,,23,,,,,,,,,,,,,,,,
27,17,,24,,,,,,,,,,,,,,,,
28,19,4,21,,,,,,,,,,,,,,,,
29,20,4,21,,,,,,,,,,,,,,,,
30,23,4,21,,,,,,,,,,,,,,,,
31,22,6,21,,,,,,,,,,,,,,,,
32,21,6,26,,,,,,,,,,,,,,,,
33,21,6,26,,,,,,,,,,,,,,,,
34,21,6,26,,,,,,,,,,,,,,,,
35,20,6,,32,,,,,,,,,,,,,,,
36,22,10,,26,,,,,,,,,,,,,,,
37,22,10,,26,,,,,,,,,,,,,,,
38,22,10,,27,,,,,,,,,,,,,,,
39,22,10,,28,,,,,,,,,,,,,,,
40,20,8,,,36,,,,,,,,,,,,,,
41,19,8,,,38,,,,,,,,,,,,,,
42,21,8,,,39,,,,,,,,,,,,,,
43,20,8,,,39,,,,,,,,,,,,,,
44,22,8,,,39,,,,,,,,,,,,,,
45,21,10,,,36,,,,,,,,,,,,,,
46,24,8,,,36,,,,,,,,,,,,,,
47,24,8,,,37,,,,,,,,,,,,,,
48,20,6,,,,45.0,,,,,,,,,,,,,
49,5,,,,,,69.0,,,,,,,,,,,,
50,5,,,,,,69.0,,,,,,,,,,,,
51,5,,,,,,69.0,,,,,,,,,,,,
52,5,,,,,,71.0,,,,,,,,,,,,
53,5,,,,,,71.0,,,,,,,,,,,,
54,6,,,,,,73.0,,,,,,,,,,,,
55,6,,,,,,73.0,,,,,,,,,,,,
56,6,,,,,,76.0,,,,,,,,,,,,
57,7,,,,,,76.0,,,,,,,,,,,,
58,7,,,,,,76.0,,,,,,,,,,,,
59,7,,,,,,76.0,,,,,,,,,,,,
60,8,,,,,,76.0,,,,,,,,,,,,
61,8,,,,,,76.0,,,,,,,,,,,,
62,8,,,,,,76.0,,,,,,,,,,,,
63,10,,,,,,78.0,,,,,,,,,,,,
64,11,,,,,,79.0,,,,,,,,,,,,
65,12,,,,,,80.0,,,,,,,,,,,,
66,15,,,,,,80.0,,,,,,,,,,,,
67,24,6,3,,,,63.0,,,,,,,,,,,,
68,25,6,3,,,,64.0,,,,,,,,,,,,
69,27,8,,,,,66.0,,,,,,,,,,,,
70,23,6,,,,,74.0,,,,,,,,,,,,
71,23,6,,,,,,73.0,,,,,,,,,,,
72,24,4,,,,,,76.0,,,,,,,,,,,
73,24,4,,,,,,75.0,,,,,,,,,,,
74,24,4,,,,,,76.0,,,,,,,,,,,
75,23,4,,,,,,80.0,,,,,,,,,,,
76,25,4,,,,,,,81.0,,,,,,,,,,
77,25,4,,,,,,,81.0,,,,,,,,,,
78,22,4,,,,,,,87.0,,,,,,,,,,
79,22,4,,,,,,,87.0,,,,,,,,,,
80,23,4,,,,,,,90.0,,,,,,,,,,
81,23,4,,,,,,,90.0,,,,,,,,,,
82,23,4,,,,,,,90.0,,,,,,,,,,
83,24,4,,,,,,,90.0,,,,,,,,,,
84,25,4,,,,,,,94.0,,,,,,,,,,
85,26,4,,,,,,,94.0,,,,,,,,,,
86,27,4,,,,,,,95.0,,,,,,,,,,
87,28,4,,,,,,,95.0,,,,,,,,,,
88,30,4,,,,,,,96.0,,,,,,,,,,
89,30,4,,,,,,,97.0,,,,,,,,,,
90,32,4,,,,,,,97.0,,,,,,,,,,
91,31,7,,,,,,,95.0,,,,,,,,,,
92,31,7,,,,,,,95.0,,,,,,,,,,
93,31,7,,,,,,,97.0,,,,,,,,,,
94,31,7,,,,,,,98.0,,,,,,,,,,
95,32,7,,,,,,,97.0,,,,,,,,,,
96,30,2,,,,,,,111.0,,,,,,,,,,
97,31,2,,,,,,,111.0,,,,,,,,,,
98,32,2,,,,,,,113.0,,,,,,,,,,
99,33,2,,,,,,,114.0,,,,,,,,,,
100,33,2,,,,,,,123.0,,,,,,,,,,
101,33,2,,,,,,,123.0,,,,,,,,,,
102,33,2,,,,,,,123.0,,,,,,,,,,
103,33,2,,,,,,,123.0,,,,,,,,,,
104,33,2,,,,,,,125.0,,,,,,,,,,
105,31,2,,,,,,,130.0,,,,,,,,,,
106,33,2,,,,,,,131.0,,,,,,,,,,
107,33,2,,,,,,,130.0,,,,,,,,,,
108,34,2,,,,,,,130.0,,,,,,,,,,
109,34,2,,,,,,,130.0,,,,,,,,,,
110,39,2,,,,,,,134.0,,,,,,,,,,
111,38,2,,,,,,,134.0,,,,,,,,,,
112,37,2,,,,,,,136.0,,,,,,,,,,
113,36,2,,,,,,,136.0,,,,,,,,,,
114,36,2,,,,,,,139.0,,,,,,,,,,
115,36,2,,,,,,,139.0,,,,,,,,,,
116,36,2,,,,,,,139.0,,,,,,,,,,
117,38,2,,,,,,,140.0,,,,,,,,,,
118,39,2,,,,,,,140.0,,,,,,,,,,
119,39,2,,,,,,,140.0,,,,,,,,,,
120,38,2,,,,,,,145.0,,,,,,,,,,
121,38,2,,,,,,,145.0,,,,,,,,,,
122,39,2,,,,,,,142.0,,,,,,,,,,
123,39,2,,,,,,,142.0,,,,,,,,,,
124,36,2,,,,,,,148.0,,,,,,,,,,
125,37,2,,,,,,,148.0,,,,,,,,,,
126,38,2,,,,,,,151.0,,,,,,,,,,
127,39,2,,,,,,,151.0,,,,,,,,,,
128,37,2,,,,,,,154.0,,,,,,,,,,
129,37,2,,,,,,,154.0,,,,,,,,,,
130,40,2,,,,,,,154.0,,,,,,,,,,
131,40,2,,,,,,,154.0,,,,,,,,,,
132,40,2,,,,,,,156.0,,,,,,,,,,
133,41,2,,,,,,,158.0,,,,,,,,,,
134,41,2,,,,,,,159.0,,,,,,,,,,
135,41,2,,,,,,,159.0,,,,,,,,,,
136,42,2,,,,,,,159.0,,,,,,,,,,
137,42,2,,,,,,,159.0,,,,,,,,,,
138,42,2,,,,,,,160.0,,,,,,,,,,
