day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,3,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,
4,1,4,4,,,,,,,,,,,,
5,1,4,4,,,,,,,,,,,,
6,3,5,5,,,,,,,,,,,,
7,5,5,4,,,,,,,,,,,,
8,7,5,4,,,,,,,,,,,,
9,7,8,,,,,,,,,,,,,
10,5,3,8,,,,,,,,,,,,
11,6,3,7,,,,,,,,,,,,
12,5,4,7,,,,,,,,,,,,
13,5,4,7,,,,,,,,,,,,
14,7,4,7,,,,,,,,,,,,
15,6,4,7,,,,,,,,,,,,
16,4,2,14,,,,,,,,,,,,
17,4,2,13,,,,,,,,,,,,
18,4,2,13,,,,,,,,,,,,
19,6,2,13,,,,,,,,,,,,
20,5,2,15,,,,,,,,,,,,
21,9,2,15,,,,,,,,,,,,
22,14,2,12,,,,,,,,,,,,
23,14,2,12,,,,,,,,,,,,
24,14,,16,,,,,,,,,,,,
25,14,,18,,,,,,,,,,,,
26,16,,19,,,,,,,,,,,,
27,17,,20,,,,,,,,,,,,
28,20,4,,16,,,,,,,,,,,
29,21,4,,16,,,,,,,,,,,
30,23,4,,16,,,,,,,,,,,
31,24,8,,11,,,,,,,,,,,
32,24,6,,17,,,,,,,,,,,
33,24,6,,17,,,,,,,,,,,
34,26,2,,17,,,,,,,,,,,
35,21,4,,25,,,,,,,,,,,
36,19,4,,27,,,,,,,,,,,
37,19,4,,27,,,,,,,,,,,
38,19,4,,28,,,,,,,,,,,
39,19,4,,29,,,,,,,,,,,
40,18,4,,,34,,,,,,,,,,
41,16,4,,,36,,,,,,,,,,
42,18,4,,,37,,,,,,,,,,
43,17,4,,,36,,,,,,,,,,
44,19,4,,,36,,,,,,,,,,
45,17,4,,,36,,,,,,,,,,
46,19,4,,,36,,,,,,,,,,
47,17,6,,,37,,,,,,,,,,
48,16,4,,,,43.0,,,,,,,,,
49,1,,,,,,64.0,,,,,,,,
50,2,,,,,,63.0,,,,,,,,
51,2,,,,,,63.0,,,,,,,,
52,2,,,,,,65.0,,,,,,,,
53,3,,,,,,65.0,,,,,,,,
54,4,,,,,,67.0,,,,,,,,
55,4,,,,,,67.0,,,,,,,,
56,4,,,,,,70.0,,,,,,,,
57,5,,,,,,70.0,,,,,,,,
58,5,,,,,,70.0,,,,,,,,
59,5,,,,,,70.0,,,,,,,,
60,6,,,,,,70.0,,,,,,,,
61,6,,,,,,70.0,,,,,,,,
62,6,,,,,,70.0,,,,,,,,
63,8,,,,,,72.0,,,,,,,,
64,8,,,,,,73.0,,,,,,,,
65,9,,,,,,74.0,,,,,,,,
66,23,3,,,,,59.0,,,,,,,,
67,21,2,,,,,64.0,,,,,,,,
68,22,2,,,,,65.0,,,,,,,,
69,24,2,,,,,67.0,,,,,,,,
70,22,,,,,,73.0,,,,,,,,
71,22,,,,,,74.0,,,,,,,,
72,23,,,,,,76.0,,,,,,,,
73,23,,,,,,76.0,,,,,,,,
74,23,,,,,,77.0,,,,,,,,
75,24,,,,,,78.0,,,,,,,,
76,26,,,,,,78.0,,,,,,,,
77,26,,,,,,77.0,,,,,,,,
78,22,,,,,,84.0,,,,,,,,
79,22,,,,,,83.0,,,,,,,,
80,20,,,,,,,89.0,,,,,,,
81,20,,,,,,,88.0,,,,,,,
82,20,,,,,,,88.0,,,,,,,
83,21,,,,,,,88.0,,,,,,,
84,19,,,,,,,94.0,,,,,,,
85,20,,,,,,,93.0,,,,,,,
86,21,,,,,,,93.0,,,,,,,
87,22,,,,,,,92.0,,,,,,,
88,23,,,,,,,93.0,,,,,,,
89,23,,,,,,,94.0,,,,,,,
90,25,,,,,,,,95.0,,,,,,
91,25,,,,,,,,96.0,,,,,,
92,25,,,,,,,,95.0,,,,,,
93,26,,,,,,,,96.0,,,,,,
94,26,,,,,,,,97.0,,,,,,
95,27,,,,,,,,97.0,,,,,,
96,24,,,,,,,,107.0,,,,,,
97,24,,,,,,,,107.0,,,,,,
98,23,,,,,,,,111.0,,,,,,
99,24,,,,,,,,112.0,,,,,,
100,24,,,,,,,,120.0,,,,,,
101,24,,,,,,,,120.0,,,,,,
102,24,,,,,,,,121.0,,,,,,
103,26,,,,,,,,118.0,,,,,,
104,27,,,,,,,,119.0,,,,,,
105,28,,,,,,,,122.0,,,,,,
106,30,,,,,,,,123.0,,,,,,
107,30,,,,,,,,123.0,,,,,,
108,31,,,,,,,,123.0,,,,,,
109,31,,,,,,,,123.0,,,,,,
110,34,,3,,,,,,125.0,,,,,,
111,34,,3,,,,,,125.0,,,,,,
112,32,,3,,,,,,127.0,,,,,,
113,32,,3,,,,,,127.0,,,,,,
114,31,,3,,,,,,130.0,,,,,,
115,31,,3,,,,,,130.0,,,,,,
116,31,,3,,,,,,129.0,,,,,,
117,32,2,3,,,,,,129.0,,,,,,
118,32,2,3,,,,,,129.0,,,,,,
119,31,2,3,,,,,,129.0,,,,,,
120,30,4,3,,,,,,133.0,,,,,,
121,31,4,3,,,,,,131.0,,,,,,
122,31,4,3,,,,,,130.0,,,,,,
123,31,4,3,,,,,,131.0,,,,,,
124,31,2,,,,,,,139.0,,,,,,
125,32,2,,,,,,,139.0,,,,,,
126,34,2,,,,,,,141.0,,,,,,
127,35,2,,,,,,,141.0,,,,,,
128,34,2,,,,,,,142.0,,,,,,
129,34,2,,,,,,,142.0,,,,,,
130,37,2,,,,,,,142.0,,,,,,
131,37,2,,,,,,,141.0,,,,,,
132,38,2,,,,,,,142.0,,,,,,
133,39,2,,,,,,,142.0,,,,,,
134,39,2,,,,,,,143.0,,,,,,
135,39,2,,,,,,,144.0,,,,,,
136,40,2,,,,,,,144.0,,,,,,
137,40,2,,,,,,,144.0,,,,,,
138,40,2,,,,,,,145.0,,,,,,
139,40,2,,,,,,,145.0,,,,,,
140,43,2,,,,,,,147.0,,,,,,
141,43,2,,,,,,,145.0,,,,,,
142,42,2,,,,,,,146.0,,,,,,
143,42,2,,,,,,,146.0,,,,,,
144,42,2,,,,,,,,148.0,,,,,
145,42,2,,,,,,,,148.0,,,,,
146,43,2,,,,,,,,148.0,,,,,
147,44,2,,,,,,,,149.0,,,,,
148,41,2,,,,,,,,157.0,,,,,
149,41,2,,,,,,,,157.0,,,,,
150,41,2,,,,,,,,157.0,,,,,
151,42,2,,,,,,,,157.0,,,,,
152,42,2,,,,,,,,159.0,,,,,
153,45,2,,,,,,,,160.0,,,,,
154,47,2,,,,,,,,160.0,,,,,
155,47,2,,,,,,,,161.0,,,,,
156,46,2,,,,,,,,163.0,,,,,
157,46,2,,,,,,,,164.0,,,,,
158,46,2,,,,,,,,164.0,,,,,
159,46,2,,,,,,,,165.0,,,,,
160,48,2,,,,,,,,166.0,,,,,
161,48,2,,,,,,,,166.0,,,,,
162,48,2,,,,,,,,166.0,,,,,
163,49,2,,,,,,,,166.0,,,,,
164,50,2,,,,,,,,166.0,,,,,
165,53,2,3,,,,,,,161.0,,,,,
