n_of_bugs,n_arcs,max_degree,mean_degree,max_degree_centrality,mean_degree_centrality,max_depth,mean_depth,max_depth_centrality,mean_depth_centrality,n_introduced,n_RESOLVED,mean_subgraph_depth,mean_votes,mean_comments,mean_severity,mean_hub,max_hub,mean_authority,max_authority,mean_hub_norm,max_hub_norm,mean_authority_norm,max_authority_norm,mean_harmonic_centrality,max_harmonic_centrality,day_counter
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,0
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,1
5,4,2,0.8,0.5,0.2,2,0.8,0.5,0.2,2,0,1.6,0.0,4.8,3.2,0.3236074270557029,1.0,0.3236078159842784,1.0,0.2,0.6180327868852459,0.2,0.6180320441015443,0.2,0.5,2
6,5,2,0.8333333333333334,0.4,0.16666666666666669,2,0.8333333333333334,0.4,0.16666666666666669,1,0,1.6666666666666667,0.3333333333333333,4.333333333333333,3.1666666666666665,0.4023695703493862,1.0,0.23570316582476922,1.0,0.16666666666666666,0.41421290015034284,0.16666666666666666,0.7071040649092217,0.16666666666666669,0.6000000000000001,3
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,3,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,4
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,0,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,5
13,8,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,4,0,1.1538461538461537,0.15384615384615385,5.615384615384615,3.076923076923077,0.2540602765286249,1.0,0.1002139093042716,1.0,0.07692307692307691,0.30277490827815434,0.07692307692307693,0.7675888253148717,0.05128205128205128,0.3333333333333333,6
15,8,2,0.5333333333333333,0.14285714285714285,0.03809523809523809,2,0.5333333333333333,0.14285714285714285,0.03809523809523809,2,0,1.0,0.13333333333333333,6.8,3.066666666666667,0.2201855729914749,1.0,0.08685205473036871,1.0,0.06666666666666667,0.30277490827815434,0.06666666666666667,0.7675888253148717,0.03809523809523809,0.2857142857142857,7
17,8,2,0.47058823529411764,0.125,0.029411764705882353,2,0.47058823529411764,0.125,0.029411764705882353,2,0,0.8823529411764706,0.11764705882352941,6.294117647058823,3.0588235294117645,0.1942813879336543,1.0,0.07663416593856064,1.0,0.0588235294117647,0.30277490827815434,0.058823529411764705,0.7675888253148717,0.029411764705882353,0.25,8
16,6,1,0.375,0.06666666666666667,0.025,1,0.375,0.06666666666666667,0.025,0,1,0.5625,0.125,6.375,3.0625,0.18750097783032296,1.0,0.06250048891516194,1.0,0.062499999999999986,0.3333315949773804,0.062499999999999986,0.9999921774186022,0.025,0.2,9
17,10,4,0.5882352941176471,0.25,0.03676470588235294,2,0.47058823529411764,0.125,0.029411764705882353,1,0,1.2352941176470589,0.17647058823529413,9.176470588235293,3.0588235294117645,0.07663486378695913,1.0,0.19428202381319848,1.0,0.05882352941176472,0.7675818355375565,0.05882352941176472,0.3027739173044818,0.03860294117647059,0.21875,10
17,9,4,0.5294117647058824,0.25,0.03308823529411765,2,0.4117647058823529,0.125,0.025735294117647058,1,1,1.1764705882352942,0.17647058823529413,8.823529411764707,3.0,0.07663486378592615,1.0,0.19428202381149265,1.0,0.05882352941176472,0.7675818355479028,0.058823529411764705,0.30277391730714015,0.034926470588235295,0.21875,11
17,9,4,0.5294117647058824,0.25,0.03308823529411765,2,0.47058823529411764,0.125,0.029411764705882353,1,1,1.1764705882352942,0.23529411764705882,9.058823529411764,3.0,0.07663486378592615,1.0,0.19428202381149265,1.0,0.05882352941176472,0.7675818355479028,0.058823529411764705,0.30277391730714015,0.03676470588235294,0.25,12
17,9,4,0.5294117647058824,0.25,0.03308823529411765,2,0.47058823529411764,0.125,0.029411764705882353,0,0,1.1764705882352942,0.23529411764705882,9.058823529411764,3.0,0.07663486378592615,1.0,0.19428202381149265,1.0,0.05882352941176472,0.7675818355479028,0.058823529411764705,0.30277391730714015,0.03676470588235294,0.25,13
20,10,4,0.5,0.21052631578947367,0.02631578947368421,2,0.45,0.10526315789473684,0.02368421052631579,3,0,1.1,0.25,8.45,3.2,0.07807853262837364,1.0,0.1780786995944844,1.0,0.05,0.6403808872533814,0.05,0.2807747367532362,0.02894736842105263,0.21052631578947367,14
20,10,4,0.5,0.21052631578947367,0.02631578947368421,2,0.45,0.10526315789473684,0.02368421052631579,0,0,1.1,0.25,8.45,3.2,0.07807853262837364,1.0,0.1780786995944844,1.0,0.05,0.6403808872533814,0.05,0.2807747367532362,0.02894736842105263,0.21052631578947367,15
23,17,6,0.7391304347826086,0.2727272727272727,0.03359683794466403,2,0.5217391304347826,0.09090909090909091,0.023715415019762844,3,0,1.391304347826087,0.30434782608695654,8.26086956521739,3.217391304347826,0.10150209382256604,1.0,0.21392898373527575,0.9999999999999999,0.043478260869565216,0.42834841363537557,0.04347826086956524,0.20323688782333,0.03656126482213439,0.2272727272727273,16
23,17,6,0.7391304347826086,0.2727272727272727,0.03359683794466403,2,0.5217391304347826,0.09090909090909091,0.023715415019762844,0,0,1.391304347826087,0.30434782608695654,8.26086956521739,3.217391304347826,0.10150209382256604,1.0,0.21392898373527575,0.9999999999999999,0.043478260869565216,0.42834841363537557,0.04347826086956524,0.20323688782333,0.03656126482213439,0.2272727272727273,17
24,17,6,0.7083333333333334,0.2608695652173913,0.030797101449275364,2,0.5,0.08695652173913043,0.021739130434782608,1,0,1.3333333333333333,0.2916666666666667,8.0,3.2083333333333335,0.09727283991329246,1.0,0.20501527607963924,0.9999999999999999,0.041666666666666664,0.42834841363537557,0.04166666666666668,0.20323688782333,0.03351449275362319,0.21739130434782608,18
26,17,6,0.6538461538461539,0.24,0.026153846153846156,2,0.46153846153846156,0.08,0.018461538461538463,2,0,1.2307692307692308,0.2692307692307692,7.884615384615385,3.1923076923076925,0.08979031376611611,1.0,0.1892448702273593,0.9999999999999999,0.038461538461538464,0.42834841363537557,0.03846153846153847,0.20323688782333,0.02846153846153846,0.2,19
27,20,6,0.7407407407407407,0.23076923076923078,0.02849002849002849,2,0.48148148148148145,0.07692307692307693,0.018518518518518517,2,1,1.2592592592592593,0.25925925925925924,7.962962962962963,3.2962962962962963,0.1057118963653571,1.0,0.15405675879900813,1.0,0.037037037037037035,0.35035826913019474,0.037037037037037035,0.24041163351591618,0.03133903133903134,0.23076923076923078,20
30,20,6,0.6666666666666666,0.20689655172413793,0.022988505747126436,2,0.43333333333333335,0.06896551724137931,0.014942528735632184,4,1,1.1333333333333333,0.23333333333333334,7.133333333333334,3.2,0.0951407067288214,1.0,0.13865108291910733,1.0,0.03333333333333333,0.35035826913019474,0.03333333333333333,0.24041163351591618,0.025287356321839077,0.20689655172413793,21
33,20,6,0.6060606060606061,0.1875,0.01893939393939394,2,0.3939393939393939,0.0625,0.01231060606060606,3,0,1.0303030303030303,0.21212121212121213,6.666666666666667,3.1818181818181817,0.08649155157165582,1.0,0.12604643901737028,1.0,0.030303030303030304,0.35035826913019474,0.030303030303030304,0.24041163351591618,0.020833333333333332,0.1875,22
32,16,6,0.5,0.1935483870967742,0.016129032258064516,2,0.34375,0.06451612903225806,0.011088709677419355,0,1,0.9375,0.1875,5.1875,3.1875,0.08166509945108767,1.0,0.11807973527149863,1.0,0.03125,0.3826604046287461,0.031249999999999993,0.26465167734452844,0.017641129032258063,0.1774193548387097,23
35,19,6,0.5428571428571428,0.1764705882352941,0.015966386554621848,2,0.4,0.058823529411764705,0.011764705882352941,3,0,1.0285714285714285,0.2,5.142857142857143,3.257142857142857,0.07466523888782284,1.0,0.10795863291891013,1.0,0.02857142857142857,0.3826603784708213,0.028571428571428564,0.26465163367610567,0.01764705882352941,0.1764705882352941,24
37,23,6,0.6216216216216216,0.16666666666666666,0.017267267267267267,2,0.40540540540540543,0.05555555555555555,0.01126126126126126,2,0,1.135135135135135,0.1891891891891892,5.0,3.2972972972972974,0.07543830003420658,1.0,0.11164821016087768,1.0,0.027027027027027025,0.3582666498949731,0.027027027027027032,0.242073088212367,0.018768768768768766,0.16666666666666666,25
39,20,6,0.5128205128205128,0.15789473684210525,0.013495276653171387,2,0.358974358974359,0.05263157894736842,0.009446693657219972,3,1,1.0256410256410255,0.1794871794871795,4.769230769230769,3.3333333333333335,0.05715568509786722,1.0,0.12429700022723729,1.0,0.025641025641025647,0.4486172389871755,0.02564102564102564,0.20628837054916233,0.014507422402159244,0.13157894736842105,26
40,21,6,0.525,0.15384615384615385,0.013461538461538462,2,0.4,0.05128205128205128,0.010256410256410256,2,1,1.05,0.175,4.575,3.3,0.05572679297042053,1.0,0.12118957522155635,1.0,0.025,0.4486172389871755,0.025,0.20628837054916233,0.014743589743589742,0.14102564102564102,27
44,23,6,0.5227272727272727,0.13953488372093023,0.01215644820295983,2,0.4090909090909091,0.046511627906976744,0.009513742071881607,4,0,1.0454545454545454,0.1590909090909091,4.568181818181818,3.3181818181818183,0.050660720882200486,1.0,0.11017234111050578,1.0,0.022727272727272728,0.4486172389871755,0.022727272727272728,0.20628837054916233,0.013213530655391121,0.12790697674418605,28
45,23,6,0.5111111111111111,0.13636363636363635,0.011616161616161616,2,0.4,0.045454545454545456,0.009090909090909092,1,0,1.0222222222222221,0.26666666666666666,4.555555555555555,3.3333333333333335,0.049534927084818256,1.0,0.10772406686360565,1.0,0.022222222222222223,0.4486172389871755,0.022222222222222223,0.20628837054916233,0.012626262626262628,0.125,29
48,23,6,0.4791666666666667,0.1276595744680851,0.010195035460992909,2,0.375,0.0425531914893617,0.007978723404255319,3,0,0.9583333333333334,0.25,4.354166666666667,3.3333333333333335,0.04643899414201711,1.0,0.1009913126846303,1.0,0.020833333333333332,0.4486172389871755,0.020833333333333332,0.20628837054916233,0.011081560283687944,0.11702127659574468,30
49,24,6,0.4897959183673469,0.125,0.01020408163265306,2,0.40816326530612246,0.041666666666666664,0.008503401360544217,1,0,0.9795918367346939,0.24489795918367346,4.551020408163265,3.36734693877551,0.04781936009481349,1.0,0.10086905362345816,1.0,0.02040816326530612,0.4267761681637309,0.020408163265306128,0.2023233343844915,0.011267006802721089,0.11458333333333333,31
53,31,6,0.5849056603773585,0.11538461538461539,0.011248185776487663,3,0.4528301886792453,0.057692307692307696,0.008708272859216257,4,0,1.5849056603773586,0.24528301886792453,4.735849056603773,3.3773584905660377,0.06546818318047393,1.0,0.09300422219193817,1.0,0.018867924528301886,0.28819991042502763,0.018867924528301886,0.202871698548944,0.012457668118045474,0.11217948717948718,32
53,31,6,0.5849056603773585,0.11538461538461539,0.011248185776487663,3,0.4528301886792453,0.057692307692307696,0.008708272859216257,0,0,1.5849056603773586,0.24528301886792453,4.735849056603773,3.3773584905660377,0.06546818318047393,1.0,0.09300422219193817,1.0,0.018867924528301886,0.28819991042502763,0.018867924528301886,0.202871698548944,0.012457668118045474,0.11217948717948718,33
53,31,6,0.5849056603773585,0.11538461538461539,0.011248185776487663,3,0.4528301886792453,0.057692307692307696,0.008708272859216257,0,0,1.5849056603773586,0.24528301886792453,4.735849056603773,3.3773584905660377,0.06546818318047393,1.0,0.09300422219193817,1.0,0.018867924528301886,0.28819991042502763,0.018867924528301886,0.202871698548944,0.012457668118045474,0.11217948717948718,34
58,48,6,0.8275862068965517,0.10526315789473684,0.014519056261343012,3,0.5517241379310345,0.05263157894736842,0.00967937084089534,5,0,1.7586206896551724,0.2413793103448276,6.137931034482759,3.3448275862068964,0.0891351195297388,0.9999999999999999,0.11035846716832756,1.0,0.017241379310344827,0.1934296986564589,0.017241379310344827,0.15623068852566516,0.016283524904214558,0.1286549707602339,35
58,45,5,0.7758620689655172,0.08771929824561403,0.013611615245009074,4,0.5862068965517241,0.07017543859649122,0.0102843315184513,1,1,2.0344827586206895,0.3103448275862069,6.0,3.3448275862068964,0.08081297851779039,1.0,0.09693143262907787,0.9999999999999999,0.017241379310344827,0.21334913805397315,0.017241379310344827,0.17787191257475224,0.016283524904214558,0.11988304093567251,36
58,45,5,0.7758620689655172,0.08771929824561403,0.013611615245009074,4,0.5862068965517241,0.07017543859649122,0.0102843315184513,0,0,2.0344827586206895,0.3103448275862069,6.0,3.3448275862068964,0.08081297851779039,1.0,0.09693143262907787,0.9999999999999999,0.017241379310344827,0.21334913805397315,0.017241379310344827,0.17787191257475224,0.016283524904214558,0.11988304093567251,37
59,46,5,0.7796610169491526,0.08620689655172414,0.013442431326709527,4,0.6440677966101694,0.06896551724137931,0.011104617182933955,1,0,2.0677966101694913,0.3050847457627119,5.966101694915254,3.3559322033898304,0.07980876795847652,1.0,0.09541743888029172,0.9999999999999999,0.01694915254237288,0.21237206106466033,0.016949152542372878,0.17763160216065796,0.016632573543736606,0.12212643678160919,38
