date,bug_id,degree,depth,severity,votes,comment_count
7,5,1,1,3,2,2
9,0,2,2,3,0,5
11,11,1,1,4,0,9
12,4,1,1,3,0,3
13,3,0,0,4,0,5
14,10,0,0,3,0,4
15,14,0,0,3,0,2
18,21,0,0,5,1,6
19,20,0,0,4,0,7
20,22,0,0,4,0,2
21,24,0,0,4,0,2
23,28,0,0,3,0,10
25,16,0,0,3,0,2
34,56,0,0,5,0,14
41,57,0,0,5,0,3
42,39,1,1,4,1,3
45,41,1,3,5,0,2
46,65,4,3,3,0,13
48,73,2,3,3,0,4
50,68,0,0,5,0,2
58,43,0,0,5,0,4
62,77,0,0,5,0,2
67,88,9,3,3,4,79
68,78,0,0,5,0,3
69,113,1,1,5,0,6
70,116,0,0,5,0,10
72,121,0,0,5,0,10
75,72,2,1,3,0,9
76,96,0,0,5,0,6
87,146,1,1,5,0,2
90,130,0,0,3,0,7
91,150,0,0,5,0,3
92,122,2,2,3,0,13
93,145,1,3,5,0,3
102,153,3,1,5,0,6
105,147,9,3,4,0,94
107,162,0,0,5,0,6
118,84,4,2,3,1,24
126,208,4,4,6,0,13
128,227,0,0,5,0,3
132,180,2,3,3,4,18
134,209,0,0,5,0,6
135,223,4,4,5,0,66
138,85,6,2,3,0,28
144,151,0,0,3,1,36
147,83,3,3,3,0,5
148,249,2,2,5,0,3
149,140,2,4,3,0,110
154,181,2,1,3,1,41
155,248,2,1,3,0,17
161,260,5,2,3,0,33
166,271,3,5,5,0,4
168,184,2,1,3,1,3
172,247,5,3,3,0,2
174,64,4,2,3,0,8
176,285,1,1,5,0,13
177,231,6,4,5,0,17
178,255,0,0,5,0,4
180,273,1,5,5,0,22
188,148,5,4,3,0,27
190,323,0,0,5,0,2
192,129,1,2,3,0,11
196,300,0,0,5,0,6
200,322,0,0,5,0,10
202,127,1,1,5,0,3
204,305,0,0,5,0,4
207,299,0,0,5,0,14
219,341,0,0,5,0,4
220,307,1,2,5,1,6
