day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,3,,,,,,,,,,,
1,,,3,,,,,,,,,,,
2,,2,3,,,,,,,,,,,
3,,2,4,,,,,,,,,,,
4,1,4,4,,,,,,,,,,,
5,1,4,4,,,,,,,,,,,
6,3,5,5,,,,,,,,,,,
7,5,5,4,,,,,,,,,,,
8,7,5,4,,,,,,,,,,,
9,7,8,,,,,,,,,,,,
10,5,5,6,,,,,,,,,,,
11,6,4,6,,,,,,,,,,,
12,6,4,6,,,,,,,,,,,
13,5,4,6,,,,,,,,,,,
14,6,4,7,,,,,,,,,,,
15,5,4,7,,,,,,,,,,,
16,5,2,12,,,,,,,,,,,
17,5,2,12,,,,,,,,,,,
18,5,2,12,,,,,,,,,,,
19,6,2,12,,,,,,,,,,,
20,7,,13,,,,,,,,,,,
21,9,,13,,,,,,,,,,,
22,12,,13,,,,,,,,,,,
23,10,,13,,,,,,,,,,,
24,11,,15,,,,,,,,,,,
25,10,,,15,,,,,,,,,,
26,12,,,16,,,,,,,,,,
27,13,,,17,,,,,,,,,,
28,15,,,19,,,,,,,,,,
29,16,,,19,,,,,,,,,,
30,19,,,19,,,,,,,,,,
31,18,2,,19,,,,,,,,,,
32,17,2,,24,,,,,,,,,,
33,17,2,,24,,,,,,,,,,
34,18,,,24,,,,,,,,,,
35,16,,,31,,,,,,,,,,
36,16,,,32,,,,,,,,,,
37,16,,,32,,,,,,,,,,
38,16,,,33,,,,,,,,,,
39,16,,,34,,,,,,,,,,
40,15,,,39,,,,,,,,,,
41,14,,,,40,,,,,,,,,
42,15,,,,41,,,,,,,,,
43,15,,,,41,,,,,,,,,
44,17,,,,41,,,,,,,,,
45,17,,,,40,,,,,,,,,
46,19,,4,,35,,,,,,,,,
47,19,,4,,37,,,,,,,,,
48,17,,,,,45.0,,,,,,,,
49,2,,,,,,63.0,,,,,,,
50,3,,,,,,62.0,,,,,,,
51,3,,,,,,62.0,,,,,,,
52,3,,,,,,64.0,,,,,,,
53,4,,,,,,64.0,,,,,,,
54,5,,,,,,66.0,,,,,,,
55,5,,,,,,66.0,,,,,,,
56,5,,,,,,69.0,,,,,,,
57,6,,,,,,69.0,,,,,,,
58,5,,,,,,69.0,,,,,,,
59,5,,,,,,69.0,,,,,,,
60,6,,,,,,69.0,,,,,,,
61,6,,,,,,69.0,,,,,,,
62,6,,,,,,69.0,,,,,,,
63,8,,,,,,71.0,,,,,,,
64,8,2,,,,,71.0,,,,,,,
65,9,2,,,,,72.0,,,,,,,
66,12,2,,,,,72.0,,,,,,,
67,22,8,,,,,57.0,,,,,,,
68,21,10,,,,,57.0,,,,,,,
69,23,11,,,,,57.0,,,,,,,
70,20,4,,,,,68.0,,,,,,,
71,20,4,,,,,69.0,,,,,,,
72,21,4,,,,,70.0,,,,,,,
73,21,4,,,,,70.0,,,,,,,
74,21,4,,,,,71.0,,,,,,,
75,22,4,,,,,72.0,,,,,,,
76,25,2,,,,,73.0,,,,,,,
77,25,2,,,,,73.0,,,,,,,
78,19,4,,,,,81.0,,,,,,,
79,19,4,,,,,81.0,,,,,,,
80,20,4,,,,,85.0,,,,,,,
81,20,4,,,,,85.0,,,,,,,
82,20,4,,,,,85.0,,,,,,,
83,21,4,,,,,85.0,,,,,,,
84,22,4,,,,,89.0,,,,,,,
85,23,4,,,,,89.0,,,,,,,
86,24,4,,,,,90.0,,,,,,,
87,25,4,,,,,89.0,,,,,,,
88,27,4,,,,,90.0,,,,,,,
89,27,4,,,,,91.0,,,,,,,
90,28,4,,,,,92.0,,,,,,,
91,25,2,,,,,96.0,,,,,,,
92,25,7,,,,,90.0,,,,,,,
93,26,4,,,,,93.0,,,,,,,
94,26,4,,,,,94.0,,,,,,,
95,27,4,,,,,94.0,,,,,,,
96,23,4,,,,,105.0,,,,,,,
97,24,4,,,,,105.0,,,,,,,
98,25,4,,,,,107.0,,,,,,,
99,26,4,,,,,108.0,,,,,,,
100,27,4,,,,,116.0,,,,,,,
101,27,4,,,,,116.0,,,,,,,
102,27,4,,,,,116.0,,,,,,,
103,27,4,,,,,116.0,,,,,,,
104,27,4,,,,,119.0,,,,,,,
105,26,4,,,,,123.0,,,,,,,
106,28,4,,,,,124.0,,,,,,,
107,27,4,,,,,124.0,,,,,,,
108,28,4,,,,,124.0,,,,,,,
109,28,4,,,,,124.0,,,,,,,
110,32,6,,,,,127.0,,,,,,,
111,32,6,,,,,127.0,,,,,,,
112,32,6,,,,,128.0,,,,,,,
113,32,6,,,,,128.0,,,,,,,
114,32,6,,,,,131.0,,,,,,,
115,32,6,,,,,131.0,,,,,,,
116,32,6,,,,,131.0,,,,,,,
117,34,6,,,,,132.0,,,,,,,
118,35,6,,,,,131.0,,,,,,,
119,35,6,,,,,131.0,,,,,,,
120,33,6,,,,,138.0,,,,,,,
121,33,6,,,,,138.0,,,,,,,
122,33,6,,,,,138.0,,,,,,,
123,33,6,,,,,139.0,,,,,,,
124,33,4,,,,,144.0,,,,,,,
125,34,4,,,,,144.0,,,,,,,
126,35,4,,,,,145.0,,,,,,,
127,36,4,,,,,145.0,,,,,,,
128,33,4,,,,,148.0,,,,,,,
129,33,4,,,,,148.0,,,,,,,
130,36,4,,,,,148.0,,,,,,,
131,36,4,,,,,148.0,,,,,,,
132,36,4,,,,,149.0,,,,,,,
133,37,4,,,,,151.0,,,,,,,
134,37,4,,,,,151.0,,,,,,,
135,37,4,,,,,151.0,,,,,,,
136,38,4,,,,,151.0,,,,,,,
137,38,4,,,,,151.0,,,,,,,
138,38,4,,,,,151.0,,,,,,,
139,38,4,,,,,151.0,,,,,,,
140,39,4,,,,,155.0,,,,,,,
141,39,4,,,,,155.0,,,,,,,
142,39,4,,,,,156.0,,,,,,,
143,39,4,,,,,156.0,,,,,,,
144,37,4,,,,,159.0,,,,,,,
145,37,4,,,,,159.0,,,,,,,
146,38,4,,,,,160.0,,,,,,,
147,39,4,,,,,160.0,,,,,,,
148,37,4,,,,,,166.0,,,,,,
149,37,4,,,,,,165.0,,,,,,
150,37,4,,,,,,165.0,,,,,,
151,38,4,,,,,,165.0,,,,,,
152,38,4,,,,,,167.0,,,,,,
153,41,4,,,,,,168.0,,,,,,
154,42,4,,,,,,169.0,,,,,,
155,42,4,,,,,,169.0,,,,,,
156,42,4,,,,,,171.0,,,,,,
157,42,4,,,,,,172.0,,,,,,
158,42,4,,,,,,172.0,,,,,,
159,41,4,,,,,,174.0,,,,,,
160,43,4,,,,,,176.0,,,,,,
161,44,4,,,,,,174.0,,,,,,
162,44,4,,,,,,174.0,,,,,,
163,45,4,,,,,,174.0,,,,,,
164,46,4,,,,,,174.0,,,,,,
165,49,4,,,,,,174.0,,,,,,
166,49,4,,,,,,,176.0,,,,,
167,49,4,,,,,,,176.0,,,,,
168,50,4,,,,,,,176.0,,,,,
169,51,4,,,,,,,176.0,,,,,
170,52,4,,,,,,,176.0,,,,,
171,51,2,,,,,,,180.0,,,,,
172,48,2,,,,,,,187.0,,,,,
