n_of_bugs,n_arcs,max_degree,mean_degree,max_degree_centrality,mean_degree_centrality,max_depth,mean_depth,max_depth_centrality,mean_depth_centrality,n_introduced,n_RESOLVED,mean_subgraph_depth,mean_votes,mean_comments,mean_severity,mean_hub,max_hub,mean_authority,max_authority,mean_hub_norm,max_hub_norm,mean_authority_norm,max_authority_norm,mean_harmonic_centrality,max_harmonic_centrality,day_counter
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,0
3,3,2,1.0,1.0,0.5,2,1.0,1.0,0.5,0,0,2.0,0.0,5.333333333333333,3.0,0.5393448159405606,1.0,0.5393442622950819,0.9999999999999999,0.3333333333333333,0.6180338134001253,0.3333333333333333,0.6180344478216818,0.5,1.0,1
5,4,2,0.8,0.5,0.2,2,0.8,0.5,0.2,2,0,1.6,0.0,4.8,3.2,0.3236074270557029,1.0,0.3236078159842784,1.0,0.2,0.6180327868852459,0.2,0.6180320441015443,0.2,0.5,2
6,5,2,0.8333333333333334,0.4,0.16666666666666669,2,0.8333333333333334,0.4,0.16666666666666669,1,0,1.6666666666666667,0.3333333333333333,4.333333333333333,3.1666666666666665,0.4023695703493862,1.0,0.23570316582476922,1.0,0.16666666666666666,0.41421290015034284,0.16666666666666666,0.7071040649092217,0.16666666666666669,0.6000000000000001,3
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,3,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,4
9,6,2,0.6666666666666666,0.25,0.08333333333333333,2,0.6666666666666666,0.25,0.08333333333333333,0,0,1.3333333333333333,0.2222222222222222,5.666666666666667,3.0,0.26824620210036876,0.9999999999999999,0.15713519434949463,1.0,0.1111111111111111,0.41421317521407824,0.1111111111111111,0.7071051878039598,0.08333333333333333,0.375,5
13,8,2,0.6153846153846154,0.16666666666666666,0.05128205128205128,2,0.6923076923076923,0.16666666666666666,0.05769230769230769,4,0,1.3846153846153846,0.15384615384615385,5.615384615384615,3.076923076923077,0.1857088371888883,1.0,0.10878580230026687,1.0,0.07692307692307693,0.41421333571130414,0.07692307692307696,0.7071058474225935,0.05448717948717949,0.25,6
14,7,2,0.5,0.15384615384615385,0.038461538461538464,2,0.5714285714285714,0.15384615384615385,0.04395604395604396,2,1,1.1428571428571428,0.0,7.142857142857143,3.0714285714285716,0.1155741997294086,1.0,0.11557441195598514,1.0,0.07142857142857144,0.6180321524683331,0.07142857142857142,0.6180310175904159,0.04120879120879121,0.15384615384615385,7
16,7,2,0.4375,0.13333333333333333,0.029166666666666667,2,0.5,0.13333333333333333,0.03333333333333333,2,0,1.0,0.0,6.5625,3.0625,0.10112742476323254,1.0,0.101127610461487,1.0,0.06250000000000001,0.6180321524683331,0.0625,0.6180310175904159,0.03125,0.13333333333333333,8
14,4,1,0.2857142857142857,0.07692307692307693,0.02197802197802198,1,0.2857142857142857,0.07692307692307693,0.02197802197802198,0,2,0.5714285714285714,0.0,6.714285714285714,3.0714285714285716,0.2857142857142857,1.0,0.2857142857142857,1.0,0.07142857142857142,0.25,0.07142857142857142,0.25,0.02197802197802198,0.07692307692307693,9
13,6,4,0.46153846153846156,0.3333333333333333,0.038461538461538464,1,0.23076923076923078,0.08333333333333333,0.019230769230769232,1,2,0.6153846153846154,0.07692307692307693,10.461538461538462,3.0,0.10021364156542971,1.0,0.25406004781555674,1.0,0.07692307692307693,0.767590876067044,0.07692307692307693,0.3027751808459146,0.038461538461538464,0.16666666666666666,10
13,6,4,0.46153846153846156,0.3333333333333333,0.038461538461538464,1,0.23076923076923078,0.08333333333333333,0.019230769230769232,1,1,0.6153846153846154,0.07692307692307693,10.538461538461538,3.0,0.10021364156542971,1.0,0.25406004781555674,1.0,0.07692307692307693,0.767590876067044,0.07692307692307693,0.3027751808459146,0.038461538461538464,0.16666666666666666,11
13,7,4,0.5384615384615384,0.3333333333333333,0.044871794871794865,1,0.3076923076923077,0.08333333333333333,0.02564102564102564,1,1,0.6923076923076923,0.15384615384615385,10.923076923076923,3.0,0.13323482372254983,1.0,0.21015727339584003,1.0,0.07692307692307693,0.577349635582231,0.07692307692307693,0.366026241586172,0.044871794871794865,0.25,12
12,6,4,0.5,0.36363636363636365,0.045454545454545456,1,0.25,0.09090909090909091,0.022727272727272728,0,1,0.6666666666666666,0.16666666666666666,11.166666666666666,3.1666666666666665,0.10856477836254887,1.0,0.2752317184668532,1.0,0.08333333333333331,0.7675908760670438,0.08333333333333333,0.3027751808459146,0.045454545454545456,0.18181818181818182,13
14,7,4,0.5,0.3076923076923077,0.038461538461538464,1,0.2857142857142857,0.07692307692307693,0.02197802197802198,3,1,0.6428571428571429,0.21428571428571427,8.714285714285714,3.4285714285714284,0.12371805059951055,1.0,0.19514603958185145,1.0,0.07142857142857142,0.577349635582231,0.07142857142857142,0.366026241586172,0.038461538461538464,0.23076923076923078,14
14,7,4,0.5,0.3076923076923077,0.038461538461538464,1,0.2857142857142857,0.07692307692307693,0.02197802197802198,0,0,0.6428571428571429,0.21428571428571427,8.714285714285714,3.4285714285714284,0.12371805059951055,1.0,0.19514603958185145,1.0,0.07142857142857142,0.577349635582231,0.07142857142857142,0.366026241586172,0.038461538461538464,0.23076923076923078,15
17,13,5,0.7647058823529411,0.3125,0.04779411764705882,1,0.35294117647058826,0.0625,0.022058823529411766,3,0,0.8823529411764706,0.29411764705882354,8.411764705882353,3.411764705882353,0.07271934196458452,1.0,0.24920117635112213,1.0,0.058823529411764705,0.8089117396085997,0.058823529411764705,0.2360483617014829,0.04779411764705882,0.1875,16
17,13,5,0.7647058823529411,0.3125,0.04779411764705882,1,0.35294117647058826,0.0625,0.022058823529411766,0,0,0.8823529411764706,0.29411764705882354,8.411764705882353,3.411764705882353,0.07271934196458452,1.0,0.24920117635112213,1.0,0.058823529411764705,0.8089117396085997,0.058823529411764705,0.2360483617014829,0.04779411764705882,0.1875,17
18,13,5,0.7222222222222222,0.29411764705882354,0.042483660130718956,1,0.3333333333333333,0.058823529411764705,0.0196078431372549,1,0,0.8333333333333334,0.2777777777777778,8.055555555555555,3.388888888888889,0.06867937852210759,1.0,0.23535666655383755,1.0,0.05555555555555555,0.8089117396085997,0.05555555555555555,0.2360483617014829,0.042483660130718956,0.1764705882352941,18
19,13,5,0.6842105263157895,0.2777777777777778,0.038011695906432746,1,0.3157894736842105,0.05555555555555555,0.017543859649122806,2,1,0.7894736842105263,0.21052631578947367,8.0,3.263157894736842,0.06506467438936508,1.0,0.22296947357731978,1.0,0.05263157894736842,0.8089117396085997,0.05263157894736842,0.2360483617014829,0.038011695906432746,0.16666666666666666,19
20,16,5,0.8,0.2631578947368421,0.042105263157894736,2,0.35,0.10526315789473684,0.018421052631578946,2,1,1.3,0.2,8.05,3.3,0.13608834745964787,0.9999999999999999,0.1860935918219691,1.0,0.05,0.3674083853125316,0.05000000000000001,0.268682008394108,0.043421052631578944,0.18421052631578946,20
24,16,5,0.6666666666666666,0.21739130434782608,0.02898550724637681,2,0.2916666666666667,0.08695652173913043,0.012681159420289856,4,0,1.0833333333333333,0.16666666666666666,7.291666666666667,3.25,0.11340695621637324,0.9999999999999999,0.15507799318497426,1.0,0.041666666666666664,0.3674083853125316,0.04166666666666668,0.268682008394108,0.029891304347826088,0.15217391304347827,21
27,16,5,0.5925925925925926,0.19230769230769232,0.022792022792022793,2,0.25925925925925924,0.07692307692307693,0.009971509971509971,3,0,0.9629629629629629,0.14814814814814814,6.703703703703703,3.2222222222222223,0.10080618330344288,0.9999999999999999,0.13784710505331044,1.0,0.037037037037037035,0.3674083853125316,0.03703703703703704,0.268682008394108,0.023504273504273508,0.13461538461538464,22
26,12,5,0.46153846153846156,0.2,0.018461538461538463,2,0.23076923076923078,0.08,0.009230769230769232,0,1,0.7692307692307693,0.11538461538461539,4.884615384615385,3.230769230769231,0.038463734422816635,1.0,0.19231612031791362,1.0,0.038461538461538464,0.9999429082664195,0.03846153846153846,0.19999123525349055,0.019230769230769232,0.1,23
29,15,5,0.5172413793103449,0.17857142857142855,0.01847290640394089,2,0.27586206896551724,0.07142857142857142,0.009852216748768473,3,0,0.7931034482758621,0.13793103448275862,4.862068965517241,3.310344827586207,0.04821530672264769,1.0,0.1490867884995098,1.0,0.034482758620689655,0.7151828115301071,0.03448275862068964,0.23129318813385688,0.019088669950738914,0.08928571428571427,24
30,19,5,0.6333333333333333,0.1724137931034483,0.021839080459770115,2,0.3,0.06896551724137931,0.010344827586206896,2,1,0.8333333333333334,0.13333333333333333,4.533333333333333,3.3666666666666667,0.08169379182542796,1.0,0.16966482429700583,1.0,0.03333333333333333,0.40802774101321626,0.03333333333333335,0.19646578759885935,0.022413793103448276,0.10344827586206896,25
33,20,5,0.6060606060606061,0.15625,0.01893939393939394,2,0.30303030303030304,0.0625,0.00946969696969697,3,0,0.8181818181818182,0.12121212121212122,4.363636363636363,3.393939393939394,0.07426708347766178,1.0,0.1542407493609144,1.0,0.0303030303030303,0.40802774101321626,0.030303030303030318,0.19646578759885935,0.019412878787878788,0.09375,26
34,21,5,0.6176470588235294,0.15151515151515152,0.018716577540106954,2,0.3235294117647059,0.06060606060606061,0.009803921568627453,2,1,0.8235294117647058,0.11764705882352941,4.294117647058823,3.3823529411764706,0.07797147005867908,1.0,0.15467119573137952,1.0,0.02941176470588235,0.3772118787006055,0.029411764705882353,0.1901567034948274,0.019162210338680926,0.09090909090909091,27
37,23,5,0.6216216216216216,0.1388888888888889,0.017267267267267267,2,0.35135135135135137,0.05555555555555555,0.00975975975975976,4,1,0.8378378378378378,0.10810810810810811,4.351351351351352,3.4054054054054053,0.07164945897285908,1.0,0.1421302879694137,1.0,0.027027027027027032,0.3772118787005063,0.027027027027027025,0.19015670349477667,0.01764264264264264,0.08333333333333333,28
37,23,5,0.6216216216216216,0.1388888888888889,0.017267267267267267,2,0.35135135135135137,0.05555555555555555,0.00975975975975976,1,1,0.8378378378378378,0.24324324324324326,4.378378378378378,3.4324324324324325,0.07164945897285908,1.0,0.1421302879694137,1.0,0.02702702702702703,0.3772118787005063,0.027027027027027025,0.19015670349477667,0.01764264264264264,0.08333333333333333,29
39,23,5,0.5897435897435898,0.13157894736842105,0.015519568151147098,2,0.3333333333333333,0.05263157894736842,0.008771929824561403,3,1,0.7948717948717948,0.23076923076923078,4.205128205128205,3.4358974358974357,0.0679751277434817,1.0,0.1348415552530335,1.0,0.025641025641025647,0.3772118787005063,0.025641025641025637,0.19015670349477667,0.01585695006747638,0.07894736842105263,30
39,23,5,0.5897435897435898,0.13157894736842105,0.015519568151147098,3,0.38461538461538464,0.07894736842105263,0.010121457489878543,1,1,0.9743589743589743,0.23076923076923078,4.384615384615385,3.4871794871794872,0.06797506226828506,1.0,0.1348415604175371,1.0,0.02564102564102564,0.3772122420399591,0.02564102564102564,0.19015669621167366,0.01743139901034638,0.07894736842105263,31
43,30,5,0.6976744186046512,0.11904761904761904,0.01661129568106312,3,0.3953488372093023,0.07142857142857142,0.009413067552602435,4,0,1.0,0.23255813953488372,4.627906976744186,3.488372093023256,0.09226628991337633,1.0,0.12161732981963809,1.0,0.023255813953488372,0.25205103592354217,0.023255813953488372,0.1912212181271978,0.018180140273163527,0.07142857142857142,32
43,30,5,0.6976744186046512,0.11904761904761904,0.01661129568106312,3,0.3953488372093023,0.07142857142857142,0.009413067552602435,0,0,1.0,0.23255813953488372,4.627906976744186,3.488372093023256,0.09226628991337633,1.0,0.12161732981963809,1.0,0.023255813953488372,0.25205103592354217,0.023255813953488372,0.1912212181271978,0.018180140273163527,0.07142857142857142,33
43,30,5,0.6976744186046512,0.11904761904761904,0.01661129568106312,3,0.3953488372093023,0.07142857142857142,0.009413067552602435,0,0,1.0,0.23255813953488372,4.627906976744186,3.488372093023256,0.09226628991337633,1.0,0.12161732981963809,1.0,0.023255813953488372,0.25205103592354217,0.023255813953488372,0.1912212181271978,0.018180140273163527,0.07142857142857142,34
47,42,5,0.8936170212765957,0.10869565217391304,0.01942645698427382,3,0.5319148936170213,0.06521739130434782,0.01156336725254394,5,1,1.872340425531915,0.19148936170212766,6.212765957446808,3.4468085106382977,0.08704591907346025,1.0,0.11264463383348697,1.0,0.02127659574468085,0.24442956052569212,0.021276595744680857,0.18888246177915802,0.02389762565525748,0.09782608695652173,35
47,44,5,0.9361702127659575,0.10869565217391304,0.020351526364477335,3,0.5106382978723404,0.06521739130434782,0.011100832562442183,1,1,1.872340425531915,0.3191489361702128,6.0,3.404255319148936,0.09435482029085213,1.0,0.11960904860245768,1.0,0.021276595744680847,0.22549558866303787,0.02127659574468085,0.17788449948630114,0.024437249460376193,0.09782608695652173,36
45,41,5,0.9111111111111111,0.11363636363636365,0.02070707070707071,3,0.4888888888888889,0.06818181818181818,0.011111111111111112,0,2,1.7555555555555555,0.3111111111111111,5.7555555555555555,3.422222222222222,0.09785601562170808,1.0,0.12446253812318162,0.9999999999999999,0.02222222222222222,0.2270910181764289,0.022222222222222227,0.17854546884001918,0.02516835016835017,0.10227272727272728,37
