day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,3,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,
4,2,,,7,,,,,,,,,,,,,
5,2,,,7,,,,,,,,,,,,,
6,4,,,9,,,,,,,,,,,,,
7,6,,,8,,,,,,,,,,,,,
8,8,,,8,,,,,,,,,,,,,
9,8,,,7,,,,,,,,,,,,,
10,7,,,9,,,,,,,,,,,,,
11,7,,,9,,,,,,,,,,,,,
12,7,,,10,,,,,,,,,,,,,
13,5,,,10,,,,,,,,,,,,,
14,7,,,11,,,,,,,,,,,,,
15,6,,,11,,,,,,,,,,,,,
16,5,,,,15,,,,,,,,,,,,
17,5,,,,15,,,,,,,,,,,,
18,6,,,,15,,,,,,,,,,,,
19,7,,,,15,,,,,,,,,,,,
20,7,,,,,17.0,,,,,,,,,,,
21,11,,,,,17.0,,,,,,,,,,,
22,14,,,,,17.0,,,,,,,,,,,
23,14,,,,,17.0,,,,,,,,,,,
24,14,,,,,20.0,,,,,,,,,,,
25,15,,,,,21.0,,,,,,,,,,,
26,17,,,,,22.0,,,,,,,,,,,
27,18,,,,,23.0,,,,,,,,,,,
28,19,2,,,,24.0,,,,,,,,,,,
29,20,2,,,,24.0,,,,,,,,,,,
30,23,2,,,,23.0,,,,,,,,,,,
31,23,2,,,,24.0,,,,,,,,,,,
32,20,9,,,,24.0,,,,,,,,,,,
33,20,9,,,,24.0,,,,,,,,,,,
34,20,9,,,,24.0,,,,,,,,,,,
35,18,2,,,,38.0,,,,,,,,,,,
36,18,2,,,,39.0,,,,,,,,,,,
37,18,2,,,,38.0,,,,,,,,,,,
38,18,2,,,,39.0,,,,,,,,,,,
39,18,2,,,,40.0,,,,,,,,,,,
40,16,2,,,,46.0,,,,,,,,,,,
41,16,2,,,,47.0,,,,,,,,,,,
42,18,2,,,47,,,,,,,,,,,,
43,18,2,,,47,,,,,,,,,,,,
44,20,2,,,47,,,,,,,,,,,,
45,20,2,,,47,,,,,,,,,,,,
46,22,2,,,47,,,,,,,,,,,,
47,21,4,,,48,,,,,,,,,,,,
48,20,2,,,,54.0,,,,,,,,,,,
49,4,,,,,,75.0,,,,,,,,,,
50,5,,,,,,75.0,,,,,,,,,,
51,5,,,,,,75.0,,,,,,,,,,
52,5,,,,,,77.0,,,,,,,,,,
53,6,,,,,,77.0,,,,,,,,,,
54,7,,,,,,79.0,,,,,,,,,,
55,7,,,,,,79.0,,,,,,,,,,
56,7,,,,,,82.0,,,,,,,,,,
57,8,,,,,,82.0,,,,,,,,,,
58,8,,,,,,82.0,,,,,,,,,,
59,8,,,,,,82.0,,,,,,,,,,
60,9,,,,,,82.0,,,,,,,,,,
61,9,,,,,,82.0,,,,,,,,,,
62,10,,,,,,82.0,,,,,,,,,,
63,11,,,,,,85.0,,,,,,,,,,
64,12,,,,,,86.0,,,,,,,,,,
65,13,,,,,,87.0,,,,,,,,,,
66,16,,,,,,87.0,,,,,,,,,,
67,29,2,,,,,73.0,,,,,,,,,,
68,30,2,,,,,73.0,,,,,,,,,,
69,31,5,,,,,73.0,,,,,,,,,,
70,29,5,,,,,77.0,,,,,,,,,,
71,29,5,,,,,78.0,,,,,,,,,,
72,31,5,,,,,78.0,,,,,,,,,,
73,31,5,,,,,78.0,,,,,,,,,,
74,31,5,,,,,79.0,,,,,,,,,,
75,29,10,,,,,79.0,,,,,,,,,,
76,30,12,,,,,79.0,,,,,,,,,,
77,30,12,,,,,79.0,,,,,,,,,,
78,26,12,,,,,,86.0,,,,,,,,,
79,26,12,,,,,,86.0,,,,,,,,,
80,26,12,,,,,,91.0,,,,,,,,,
81,26,12,,,,,,91.0,,,,,,,,,
82,26,12,,,,,,91.0,,,,,,,,,
83,27,12,,,,,,91.0,,,,,,,,,
84,25,9,,,,,,100.0,,,,,,,,,
85,26,9,,,,,,100.0,,,,,,,,,
86,26,9,,,,,,101.0,,,,,,,,,
87,27,9,,,,,,101.0,,,,,,,,,
88,28,9,,,,,,103.0,,,,,,,,,
89,28,9,,,,,,104.0,,,,,,,,,
90,29,9,,,,,,106.0,,,,,,,,,
91,29,6,,,,,,110.0,,,,,,,,,
92,29,6,,,,,,110.0,,,,,,,,,
93,30,6,,,,,,111.0,,,,,,,,,
94,30,6,,,,,,112.0,,,,,,,,,
95,31,6,,,,,,112.0,,,,,,,,,
96,30,,,,,,,125.0,,,,,,,,,
97,31,,,,,,,125.0,,,,,,,,,
98,32,,,,,,,127.0,,,,,,,,,
99,33,,,,,,,127.0,,,,,,,,,
100,33,,,,,,,136.0,,,,,,,,,
101,33,,,,,,,136.0,,,,,,,,,
102,33,,,,,,,137.0,,,,,,,,,
103,33,,,,,,,137.0,,,,,,,,,
104,33,,,,,,,140.0,,,,,,,,,
105,33,,,,,,,144.0,,,,,,,,,
106,35,,,,,,,145.0,,,,,,,,,
107,35,,,,,,,145.0,,,,,,,,,
108,36,,,,,,,145.0,,,,,,,,,
109,36,,,,,,,144.0,,,,,,,,,
110,40,2,,,,,,147.0,,,,,,,,,
111,40,2,,,,,,147.0,,,,,,,,,
112,40,2,,,,,,148.0,,,,,,,,,
113,40,2,,,,,,148.0,,,,,,,,,
114,40,2,,,,,,150.0,,,,,,,,,
115,40,2,,,,,,150.0,,,,,,,,,
116,40,2,,,,,,149.0,,,,,,,,,
117,42,2,,,,,,150.0,,,,,,,,,
118,42,2,,,,,,150.0,,,,,,,,,
119,42,2,,,,,,150.0,,,,,,,,,
120,39,4,,,,,,156.0,,,,,,,,,
121,39,4,,,,,,156.0,,,,,,,,,
122,39,4,,,,,,155.0,,,,,,,,,
123,38,6,,,,,,155.0,,,,,,,,,
124,37,6,,,,,,159.0,,,,,,,,,
125,38,6,,,,,,158.0,,,,,,,,,
126,39,4,,,,,,163.0,,,,,,,,,
127,40,4,,,,,,163.0,,,,,,,,,
128,39,4,,,,,,,165.0,,,,,,,,
129,39,4,,,,,,,165.0,,,,,,,,
130,42,4,,,,,,,165.0,,,,,,,,
131,42,4,,,,,,,165.0,,,,,,,,
132,43,4,,,,,,,166.0,,,,,,,,
133,44,4,,,,,,,168.0,,,,,,,,
134,44,4,,,,,,,169.0,,,,,,,,
135,44,4,,,,,,,170.0,,,,,,,,
136,45,4,,,,,,,170.0,,,,,,,,
137,45,4,,,,,,,170.0,,,,,,,,
138,45,4,,,,,,,171.0,,,,,,,,
139,45,4,,,,,,,171.0,,,,,,,,
140,48,4,,,,,,,173.0,,,,,,,,
141,48,4,,,,,,,173.0,,,,,,,,
142,47,4,,,,,,,174.0,,,,,,,,
143,47,4,,,,,,,174.0,,,,,,,,
144,45,4,,,,,,,177.0,,,,,,,,
145,45,4,,,,,,,177.0,,,,,,,,
146,46,4,,,,,,,178.0,,,,,,,,
147,47,4,,,,,,,179.0,,,,,,,,
148,44,4,,,,,,,186.0,,,,,,,,
149,44,4,,,,,,,186.0,,,,,,,,
