day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,3,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,,
4,1,4,4,,,,,,,,,,,,,
5,1,4,4,,,,,,,,,,,,,
6,2,4,7,,,,,,,,,,,,,
7,4,4,6,,,,,,,,,,,,,
8,6,4,6,,,,,,,,,,,,,
9,6,8,,,,,,,,,,,,,,
10,5,8,,,,,,,,,,,,,,
11,5,8,,,,,,,,,,,,,,
12,4,9,,,,,,,,,,,,,,
13,4,8,,,,,,,,,,,,,,
14,5,9,,,,,,,,,,,,,,
15,5,9,,,,,,,,,,,,,,
16,2,15,,,,,,,,,,,,,,
17,2,15,,,,,,,,,,,,,,
18,3,15,,,,,,,,,,,,,,
19,4,15,,,,,,,,,,,,,,
20,4,6,10,,,,,,,,,,,,,
21,8,6,10,,,,,,,,,,,,,
22,11,6,10,,,,,,,,,,,,,
23,13,6,7,,,,,,,,,,,,,
24,13,9,7,,,,,,,,,,,,,
25,12,11,7,,,,,,,,,,,,,
26,13,13,7,,,,,,,,,,,,,
27,13,14,7,,,,,,,,,,,,,
28,13,17,7,,,,,,,,,,,,,
29,13,17,7,,,,,,,,,,,,,
30,15,17,7,,,,,,,,,,,,,
31,15,17,,7,,,,,,,,,,,,
32,14,22,,7,,,,,,,,,,,,
33,14,22,,7,,,,,,,,,,,,
34,14,22,,7,,,,,,,,,,,,
35,13,7,,27,,,,,,,,,,,,
36,13,7,,27,,,,,,,,,,,,
37,14,7,,24,,,,,,,,,,,,
38,14,7,,25,,,,,,,,,,,,
39,13,7,,26,,,,,,,,,,,,
40,10,5,,34,,,,,,,,,,,,
41,10,3,,36,,,,,,,,,,,,
42,12,3,,36,,,,,,,,,,,,
43,12,3,,35,,,,,,,,,,,,
44,13,3,,35,,,,,,,,,,,,
45,12,3,,35,,,,,,,,,,,,
46,14,3,,35,,,,,,,,,,,,
47,14,3,,37,,,,,,,,,,,,
48,12,,,44,,,,,,,,,,,,
49,,,,,56,,,,,,,,,,,
50,1,,,,56,,,,,,,,,,,
51,1,,,,56,,,,,,,,,,,
52,1,,,,58,,,,,,,,,,,
53,2,,,,57,,,,,,,,,,,
54,3,,,,59,,,,,,,,,,,
55,3,,,,59,,,,,,,,,,,
56,3,,,,62,,,,,,,,,,,
57,4,,,,62,,,,,,,,,,,
58,4,,,,62,,,,,,,,,,,
59,4,,,,62,,,,,,,,,,,
60,5,,,,62,,,,,,,,,,,
61,5,,,,62,,,,,,,,,,,
62,6,,,,62,,,,,,,,,,,
63,8,,,,64,,,,,,,,,,,
64,9,,,,65,,,,,,,,,,,
65,10,,,,66,,,,,,,,,,,
66,13,,,,66,,,,,,,,,,,
67,12,,,,69,,,,,,,,,,,
68,13,,,,70,,,,,,,,,,,
69,15,,,,72,,,,,,,,,,,
70,20,2,,,66,,,,,,,,,,,
71,20,2,,,67,,,,,,,,,,,
72,21,2,,,69,,,,,,,,,,,
73,21,2,,,69,,,,,,,,,,,
74,21,2,,,70,,,,,,,,,,,
75,22,2,,,72,,,,,,,,,,,
76,24,2,,,73,,,,,,,,,,,
77,24,2,,,73,,,,,,,,,,,
78,23,2,,,78,,,,,,,,,,,
79,23,2,,,78,,,,,,,,,,,
80,19,2,,,,86.0,,,,,,,,,,
81,19,2,,,,86.0,,,,,,,,,,
82,19,2,,,,86.0,,,,,,,,,,
83,20,2,,,,85.0,,,,,,,,,,
84,16,2,,,,94.0,,,,,,,,,,
85,17,2,,,,93.0,,,,,,,,,,
86,16,2,,,,95.0,,,,,,,,,,
87,17,2,,,,95.0,,,,,,,,,,
88,18,,,,,98.0,,,,,,,,,,
89,17,,,,,99.0,,,,,,,,,,
90,19,,,,,100.0,,,,,,,,,,
91,18,,,,,101.0,,,,,,,,,,
92,18,,,,,101.0,,,,,,,,,,
93,18,,,,,102.0,,,,,,,,,,
94,17,,,,,103.0,,,,,,,,,,
95,17,,,,,103.0,,,,,,,,,,
96,17,,,,,,110.0,,,,,,,,,
97,18,,,,,,110.0,,,,,,,,,
98,19,,,,,,112.0,,,,,,,,,
99,20,,,,,,112.0,,,,,,,,,
100,19,,,,,,122.0,,,,,,,,,
101,19,,,,,,121.0,,,,,,,,,
102,19,,,,,,122.0,,,,,,,,,
103,19,,,,,,122.0,,,,,,,,,
104,18,,,,,,126.0,,,,,,,,,
105,19,,,,,,129.0,,,,,,,,,
106,20,2,,,,,129.0,,,,,,,,,
107,19,2,,,,,129.0,,,,,,,,,
108,20,4,,,,,126.0,,,,,,,,,
109,20,4,,,,,126.0,,,,,,,,,
110,25,4,,,,,130.0,,,,,,,,,
111,25,4,,,,,130.0,,,,,,,,,
112,25,4,,,,,131.0,,,,,,,,,
113,25,4,,,,,131.0,,,,,,,,,
114,25,4,,,,,134.0,,,,,,,,,
115,25,4,,,,,134.0,,,,,,,,,
116,25,4,,,,,134.0,,,,,,,,,
117,26,6,,,,,134.0,,,,,,,,,
118,28,6,,,,,132.0,,,,,,,,,
119,28,6,,,,,132.0,,,,,,,,,
120,27,8,,,,,134.0,,,,,,,,,
121,27,8,,,,,133.0,,,,,,,,,
122,27,8,,,,,133.0,,,,,,,,,
123,26,10,,,,,132.0,,,,,,,,,
124,26,10,,,,,135.0,,,,,,,,,
125,27,10,,,,,135.0,,,,,,,,,
126,29,10,,,,,137.0,,,,,,,,,
127,34,12,,,,,130.0,,,,,,,,,
128,33,12,,,,,,131.0,,,,,,,,
129,33,12,,,,,,129.0,,,,,,,,
130,36,12,,,,,,129.0,,,,,,,,
131,36,12,,,,,,128.0,,,,,,,,
132,35,12,,,,,,,131.0,,,,,,,
133,36,12,,,,,,,133.0,,,,,,,
134,36,12,,,,,,,134.0,,,,,,,
135,36,12,,,,,,,135.0,,,,,,,
136,37,12,,,,,,,135.0,,,,,,,
137,37,12,,,,,,,134.0,,,,,,,
138,37,12,,,,,,,134.0,,,,,,,
139,37,12,,,,,,,134.0,,,,,,,
140,40,10,,,,,,,138.0,,,,,,,
141,40,10,,,,,,,138.0,,,,,,,
142,40,8,,,,,,,140.0,,,,,,,
143,40,8,,,,,,,140.0,,,,,,,
144,41,6,,,,,,,143.0,,,,,,,
145,41,6,,,,,,,142.0,,,,,,,
146,42,6,,,,,,,143.0,,,,,,,
147,43,6,,,,,,,144.0,,,,,,,
148,41,8,,,,,,,,147.0,,,,,,
149,41,8,,,,,,,,147.0,,,,,,
150,41,8,,,,,,,,147.0,,,,,,
151,42,8,,,,,,,,147.0,,,,,,
152,42,8,,,,,,,,149.0,,,,,,
153,45,8,,,,,,,,150.0,,,,,,
154,47,8,,,,,,,,150.0,,,,,,
155,47,8,,,,,,,,151.0,,,,,,
156,47,8,,,,,,,,153.0,,,,,,
157,47,8,,,,,,,,154.0,,,,,,
158,47,8,,,,,,,,154.0,,,,,,
159,44,8,,,,,,,,158.0,,,,,,
160,46,8,,,,,,,,159.0,,,,,,
