date,bug_id,degree,depth,severity,votes,comment_count
7,5,1,1,3,2,2
9,0,2,2,3,0,5
10,11,1,1,4,0,9
12,6,0,0,5,0,15
15,9,0,0,3,0,3
17,10,0,0,3,0,4
28,42,0,0,3,0,3
33,25,5,3,3,2,12
35,28,0,0,3,0,10
43,50,0,0,3,0,9
46,65,5,4,3,0,13
48,14,0,0,3,0,2
50,15,0,0,3,0,3
67,109,0,0,3,0,3
81,23,1,2,3,0,7
82,59,1,1,3,1,12
95,137,3,2,3,1,54
103,108,0,0,3,0,13
106,140,3,1,3,0,110
118,183,4,4,3,0,3
123,171,13,4,3,0,54
135,170,3,1,3,0,54
136,168,6,3,3,0,34
145,98,6,2,3,0,10
147,123,0,0,3,0,9
157,238,0,0,3,2,2
159,44,0,0,3,0,2
163,169,3,1,3,5,16
165,61,0,0,3,1,21
167,221,0,0,3,0,5
176,148,5,4,3,0,27
182,124,0,0,3,0,2
205,151,1,1,3,1,36
212,260,3,6,3,0,33
214,293,1,2,3,0,3
226,248,3,2,3,0,17
228,310,0,0,4,0,5
233,259,3,1,3,0,8
251,359,0,0,5,0,4
253,225,0,0,3,0,8
255,290,0,0,3,0,4
257,398,13,4,2,5,25
259,378,0,0,3,0,13
264,131,0,0,3,1,10
270,194,1,1,3,0,4
276,367,0,0,3,0,27
283,251,2,2,3,0,24
293,297,10,4,3,0,78
295,340,2,2,3,1,40
308,130,0,0,3,0,7
310,474,0,0,5,1,12
319,275,2,1,3,0,1
324,484,0,0,3,1,7
335,510,2,2,3,0,8
345,279,2,1,3,0,5
358,414,2,2,3,8,11
366,588,5,2,3,2,32
382,372,1,8,3,0,2
389,85,7,1,3,0,28
391,528,0,0,4,0,11
398,351,0,0,3,0,2
400,446,0,0,3,0,19
406,575,0,0,3,1,2
417,598,1,3,3,0,6
429,368,1,1,3,0,2
435,216,1,6,4,0,2
438,623,8,5,3,0,51
446,450,13,4,3,1,71
459,557,0,0,3,0,1
