day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,3,,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,,,,,,,
10,5,,,12,,,,,,,,,,,,,,,,
11,5,,,12,,,,,,,,,,,,,,,,
12,5,,,13,,,,,,,,,,,,,,,,
13,5,,,13,,,,,,,,,,,,,,,,
14,6,2,,13,,,,,,,,,,,,,,,,
15,6,2,,13,,,,,,,,,,,,,,,,
16,6,,,18,,,,,,,,,,,,,,,,
17,6,,,18,,,,,,,,,,,,,,,,
18,7,,,18,,,,,,,,,,,,,,,,
19,9,,,18,,,,,,,,,,,,,,,,
20,10,,,,19,,,,,,,,,,,,,,,
21,14,,,,19,,,,,,,,,,,,,,,
22,17,,,,19,,,,,,,,,,,,,,,
23,17,,,,19,,,,,,,,,,,,,,,
24,17,2,,,,20.0,,,,,,,,,,,,,,
25,18,2,,,,,21.0,,,,,,,,,,,,,
26,20,2,,,,,22.0,,,,,,,,,,,,,
27,21,2,,,,,23.0,,,,,,,,,,,,,
28,23,,3,,,,24.0,,,,,,,,,,,,,
29,25,2,3,,,,20.0,,,,,,,,,,,,,
30,28,2,3,,,,20.0,,,,,,,,,,,,,
31,27,4,3,,,,20.0,,,,,,,,,,,,,
32,25,4,3,,,,26.0,,,,,,,,,,,,,
33,25,4,3,,,,26.0,,,,,,,,,,,,,
34,25,4,3,,,,26.0,,,,,,,,,,,,,
35,22,4,3,,,,34.0,,,,,,,,,,,,,
36,22,4,3,,,,35.0,,,,,,,,,,,,,
37,22,4,3,,,,35.0,,,,,,,,,,,,,
38,22,4,3,,,,36.0,,,,,,,,,,,,,
39,22,4,3,,,,37.0,,,,,,,,,,,,,
40,20,6,3,,,,41.0,,,,,,,,,,,,,
41,20,6,3,,,,42.0,,,,,,,,,,,,,
42,22,6,3,,,,43.0,,,,,,,,,,,,,
43,22,6,3,,,,43.0,,,,,,,,,,,,,
44,24,6,3,,,,43.0,,,,,,,,,,,,,
45,24,6,3,,,,43.0,,,,,,,,,,,,,
46,26,6,3,,,,43.0,,,,,,,,,,,,,
47,25,8,3,,,,44.0,,,,,,,,,,,,,
48,21,8,3,,,,51.0,,,,,,,,,,,,,
49,3,,,,,,,83.0,,,,,,,,,,,,
50,4,,,,,,,83.0,,,,,,,,,,,,
51,4,,,,,,,83.0,,,,,,,,,,,,
52,4,,,,,,,85.0,,,,,,,,,,,,
53,5,,,,,,,84.0,,,,,,,,,,,,
54,6,,,,,,,86.0,,,,,,,,,,,,
55,6,,,,,,,86.0,,,,,,,,,,,,
56,6,,,,,,,89.0,,,,,,,,,,,,
57,7,,,,,,,89.0,,,,,,,,,,,,
58,7,,,,,,,89.0,,,,,,,,,,,,
59,7,,,,,,,89.0,,,,,,,,,,,,
60,8,,,,,,,89.0,,,,,,,,,,,,
61,8,,,,,,,89.0,,,,,,,,,,,,
62,9,,,,,,,89.0,,,,,,,,,,,,
63,11,,,,,,,91.0,,,,,,,,,,,,
64,12,,,,,,,92.0,,,,,,,,,,,,
65,13,,,,,,,93.0,,,,,,,,,,,,
66,16,,,,,,,93.0,,,,,,,,,,,,
67,15,2,,,,,,94.0,,,,,,,,,,,,
68,16,2,,,,,,,95.0,,,,,,,,,,,
69,17,5,,,,,,,95.0,,,,,,,,,,,
70,15,5,,,,,,,99.0,,,,,,,,,,,
71,15,5,,,,,,,100.0,,,,,,,,,,,
72,16,5,,,,,,,102.0,,,,,,,,,,,
73,16,5,,,,,,,102.0,,,,,,,,,,,
74,16,5,,,,,,,103.0,,,,,,,,,,,
75,15,5,,,,,,,107.0,,,,,,,,,,,
76,17,5,,,,,,,108.0,,,,,,,,,,,
77,17,5,,,,,,,108.0,,,,,,,,,,,
78,17,3,,,,,,,114.0,,,,,,,,,,,
79,17,3,,,,,,,114.0,,,,,,,,,,,
80,18,3,,,,,,,118.0,,,,,,,,,,,
81,18,3,,,,,,,118.0,,,,,,,,,,,
82,18,3,,,,,,,118.0,,,,,,,,,,,
83,19,3,,,,,,,118.0,,,,,,,,,,,
84,19,3,,,,,,,123.0,,,,,,,,,,,
85,32,12,,,,,,,101.0,,,,,,,,,,,
86,31,15,,,,,,,101.0,,,,,,,,,,,
87,32,15,,,,,,,101.0,,,,,,,,,,,
88,34,15,,,,,,,102.0,,,,,,,,,,,
89,34,15,,,,,,,103.0,,,,,,,,,,,
90,35,15,,,,,,,105.0,,,,,,,,,,,
91,34,15,,,,,,,107.0,,,,,,,,,,,
92,34,15,,,,,,,106.0,,,,,,,,,,,
93,35,15,,,,,,,107.0,,,,,,,,,,,
94,35,15,,,,,,,108.0,,,,,,,,,,,
95,36,15,,,,,,,108.0,,,,,,,,,,,
96,34,13,,,,,,,119.0,,,,,,,,,,,
97,35,13,,,,,,,119.0,,,,,,,,,,,
98,36,13,,,,,,,121.0,,,,,,,,,,,
99,37,13,,,,,,,122.0,,,,,,,,,,,
100,38,13,,,,,,,130.0,,,,,,,,,,,
101,38,13,,,,,,,130.0,,,,,,,,,,,
102,38,13,,,,,,,131.0,,,,,,,,,,,
103,38,13,,,,,,,131.0,,,,,,,,,,,
104,37,13,,,,,,,134.0,,,,,,,,,,,
105,38,13,,,,,,,137.0,,,,,,,,,,,
106,39,15,,,,,,,137.0,,,,,,,,,,,
107,39,15,,,,,,,137.0,,,,,,,,,,,
108,40,15,,,,,,,137.0,,,,,,,,,,,
109,40,15,,,,,,,137.0,,,,,,,,,,,
110,44,18,,,,,,,139.0,,,,,,,,,,,
111,44,18,,,,,,,139.0,,,,,,,,,,,
112,44,16,,,,,,,142.0,,,,,,,,,,,
113,44,16,,,,,,,142.0,,,,,,,,,,,
114,44,16,,,,,,,145.0,,,,,,,,,,,
115,44,16,,,,,,,145.0,,,,,,,,,,,
116,44,16,,,,,,,145.0,,,,,,,,,,,
117,45,18,,,,,,,145.0,,,,,,,,,,,
118,46,18,,,,,,,145.0,,,,,,,,,,,
119,46,18,,,,,,,145.0,,,,,,,,,,,
120,45,14,,,,,,,155.0,,,,,,,,,,,
121,45,14,,,,,,,155.0,,,,,,,,,,,
122,45,14,,,,,,,155.0,,,,,,,,,,,
123,45,14,,,,,,,156.0,,,,,,,,,,,
124,44,14,,,,,,,160.0,,,,,,,,,,,
125,45,14,,,,,,,160.0,,,,,,,,,,,
126,46,14,,,,,,,162.0,,,,,,,,,,,
127,47,14,,,,,,,162.0,,,,,,,,,,,
128,45,14,,,,,,,165.0,,,,,,,,,,,
129,44,14,,,,,,,165.0,,,,,,,,,,,
130,47,14,,,,,,,165.0,,,,,,,,,,,
