day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,3,,,,,,,,,,
1,,,3,,,,,,,,,,
2,,2,3,,,,,,,,,,
3,,2,4,,,,,,,,,,
4,1,4,4,,,,,,,,,,
5,1,4,4,,,,,,,,,,
6,3,4,6,,,,,,,,,,
7,5,4,5,,,,,,,,,,
8,7,4,5,,,,,,,,,,
9,6,8,,,,,,,,,,,
10,5,9,,,,,,,,,,,
11,6,8,,,,,,,,,,,
12,5,8,,,,,,,,,,,
13,5,8,,,,,,,,,,,
14,7,9,,,,,,,,,,,
15,7,8,,,,,,,,,,,
16,3,15,,,,,,,,,,,
17,3,15,,,,,,,,,,,
18,3,15,,,,,,,,,,,
19,5,13,,,,,,,,,,,
20,4,16,,,,,,,,,,,
21,7,14,,,,,,,,,,,
22,10,14,,,,,,,,,,,
23,9,14,,,,,,,,,,,
24,10,16,,,,,,,,,,,
25,12,15,,,,,,,,,,,
26,14,16,,,,,,,,,,,
27,15,17,,,,,,,,,,,
28,17,4,,15,,,,,,,,,
29,17,4,,15,,,,,,,,,
30,20,4,,15,,,,,,,,,
31,20,4,,15,,,,,,,,,
32,17,11,,15,,,,,,,,,
33,17,11,,15,,,,,,,,,
34,18,9,,15,,,,,,,,,
35,17,,,30,,,,,,,,,
36,17,,,31,,,,,,,,,
37,16,,,31,,,,,,,,,
38,16,,,32,,,,,,,,,
39,16,,,33,,,,,,,,,
40,15,2,,33,,,,,,,,,
41,15,2,,34,,,,,,,,,
42,15,2,,,36,,,,,,,,
43,14,2,,,36,,,,,,,,
44,15,2,,,36,,,,,,,,
45,15,2,,,36,,,,,,,,
46,17,2,,,36,,,,,,,,
47,15,4,,,37,,,,,,,,
48,12,,,,47,,,,,,,,
49,1,,,,,60.0,,,,,,,
50,1,,,,,60.0,,,,,,,
51,1,,,,,59.0,,,,,,,
52,1,,,,,61.0,,,,,,,
53,2,,,,,61.0,,,,,,,
54,2,2,,,,62.0,,,,,,,
55,2,2,,,,61.0,,,,,,,
56,2,2,,,,64.0,,,,,,,
57,3,2,,,,64.0,,,,,,,
58,3,2,,,,64.0,,,,,,,
59,3,2,,,,64.0,,,,,,,
60,4,2,,,,64.0,,,,,,,
61,4,2,,,,64.0,,,,,,,
62,5,2,,,,63.0,,,,,,,
63,7,2,,,,65.0,,,,,,,
64,8,2,,,,66.0,,,,,,,
65,9,2,,,,67.0,,,,,,,
66,22,6,,,50,,,,,,,,
67,21,8,,,51,,,,,,,,
68,21,8,,,52,,,,,,,,
69,22,11,,,52,,,,,,,,
70,17,8,,,,60.0,,,,,,,
71,17,8,,,,61.0,,,,,,,
72,18,8,,,,63.0,,,,,,,
73,18,8,,,,63.0,,,,,,,
74,18,8,,,,64.0,,,,,,,
75,17,8,,,,67.0,,,,,,,
76,19,8,,,,68.0,,,,,,,
77,18,8,,,,68.0,,,,,,,
78,18,8,,,,72.0,,,,,,,
79,18,8,,,,72.0,,,,,,,
80,16,4,,,,82.0,,,,,,,
81,16,9,,,,76.0,,,,,,,
82,16,9,,,,75.0,,,,,,,
83,16,9,,,,75.0,,,,,,,
84,15,2,6,,,82.0,,,,,,,
85,16,2,6,,,82.0,,,,,,,
86,17,2,6,,,,82.0,,,,,,
87,18,2,6,,,,81.0,,,,,,
88,19,,6,,,,84.0,,,,,,
89,18,,6,,,,86.0,,,,,,
90,20,,6,,,,,87.0,,,,,
91,19,5,,,,,,89.0,,,,,
92,19,5,,,,,,89.0,,,,,
93,20,5,,,,,,90.0,,,,,
94,18,5,,,,,,92.0,,,,,
95,19,5,,,,,,92.0,,,,,
96,20,5,,,,,,97.0,,,,,
97,21,5,,,,,,97.0,,,,,
98,22,5,,,,,,98.0,,,,,
99,23,5,,,,,,99.0,,,,,
100,22,5,,,,,,109.0,,,,,
101,22,5,,,,,,108.0,,,,,
102,22,5,,,,,,109.0,,,,,
103,22,5,,,,,,109.0,,,,,
104,21,5,,,,,,113.0,,,,,
105,22,5,,,,,,116.0,,,,,
106,24,5,,,,,,117.0,,,,,
107,24,5,,,,,,117.0,,,,,
108,25,5,,,,,,117.0,,,,,
109,25,5,,,,,,116.0,,,,,
110,30,5,,,,,,120.0,,,,,
111,32,2,,,,,,120.0,,,,,
112,32,2,,,,,,121.0,,,,,
113,32,2,,,,,,121.0,,,,,
114,32,2,,,,,,124.0,,,,,
115,32,2,,,,,,123.0,,,,,
116,32,2,,,,,,123.0,,,,,
117,34,2,,,,,,124.0,,,,,
118,35,2,,,,,,124.0,,,,,
119,35,2,,,,,,124.0,,,,,
120,33,4,,,,,,129.0,,,,,
121,33,4,,,,,,129.0,,,,,
122,33,4,,,,,,129.0,,,,,
123,34,4,,,,,,128.0,,,,,
124,33,4,,,,,,131.0,,,,,
125,34,4,,,,,,128.0,,,,,
126,36,4,,,,,,129.0,,,,,
127,37,4,,,,,,129.0,,,,,
128,37,4,,,,,,130.0,,,,,
129,37,4,,,,,,130.0,,,,,
130,40,4,,,,,,130.0,,,,,
131,40,4,,,,,,130.0,,,,,
132,37,4,,,,,,134.0,,,,,
133,38,4,,,,,,136.0,,,,,
134,37,4,,,,,,138.0,,,,,
135,37,4,3,,,,,135.0,,,,,
136,38,4,3,,,,,134.0,,,,,
137,37,4,3,,,,,134.0,,,,,
138,37,4,3,,,,,135.0,,,,,
139,37,4,3,,,,,134.0,,,,,
140,38,4,3,,,,,138.0,,,,,
141,38,4,3,,,,,138.0,,,,,
142,38,4,3,,,,,138.0,,,,,
143,38,4,3,,,,,138.0,,,,,
144,37,4,3,,,,,141.0,,,,,
145,37,4,3,,,,,141.0,,,,,
146,38,4,3,,,,,142.0,,,,,
147,39,4,3,,,,,143.0,,,,,
148,36,4,3,,,,,,148.0,,,,
149,36,4,3,,,,,,148.0,,,,
150,36,4,3,,,,,,148.0,,,,
151,37,4,3,,,,,,147.0,,,,
152,37,4,3,,,,,,149.0,,,,
153,40,4,3,,,,,,150.0,,,,
154,41,4,3,,,,,,151.0,,,,
155,40,4,3,,,,,,153.0,,,,
156,40,4,3,,,,,,155.0,,,,
157,40,4,3,,,,,,156.0,,,,
158,39,4,3,,,,,,156.0,,,,
159,37,4,3,,,,,,159.0,,,,
160,39,4,3,,,,,,160.0,,,,
161,39,4,3,,,,,,160.0,,,,
162,40,2,3,,,,,,160.0,,,,
163,41,2,3,,,,,,159.0,,,,
164,42,2,3,,,,,,159.0,,,,
165,45,2,3,,,,,,159.0,,,,
166,44,2,3,,,,,,163.0,,,,
167,44,2,3,,,,,,163.0,,,,
168,45,2,3,,,,,,162.0,,,,
169,46,2,3,,,,,,161.0,,,,
170,47,2,3,,,,,,161.0,,,,
171,45,2,3,,,,,,163.0,,,,
172,45,2,3,,,,,,168.0,,,,
173,45,2,3,,,,,,168.0,,,,
174,46,2,3,,,,,,169.0,,,,
175,46,2,3,,,,,,170.0,,,,
176,47,2,,,,,,,177.0,,,,
177,48,2,,,,,,,176.0,,,,
178,51,2,,,,,,,177.0,,,,
179,52,2,,,,,,,177.0,,,,
